metro_name,CBSA,total_units_2010,highrise_units_2010,total_units_2024,highrise_units_2024,highrise_growth,highrise_pct_growth,lat,lon
"Dalton, GA Metro Area",19140,54694.0,1223.0,56047,1415,192.0,15.7,34.79617250115989,-84.84853465509886
"Springfield, OH Metro Area",44220,61574.0,2363.0,61126,2554,191.0,8.1,39.916635201351546,-83.78435174158976
"Alpena, MI Micro Area",10980,15985.0,350.0,15707,540,190.0,54.3,45.03480165139299,-83.62853941575635
"Forest City, NC Micro Area",22580,33338.0,99.0,32775,287,188.0,189.9,35.40255129605697,-81.92051926010542
"Cordele, GA Micro Area",18380,10612.0,48.0,9909,235,187.0,389.6,31.92300095129931,-83.76737859690235
"Spencer, IA Micro Area",43980,8046.0,411.0,8157,598,187.0,45.5,43.08250146622311,-95.15111491938063
"Albany, GA Metro Area",10500,66272.0,948.0,67243,1135,187.0,19.7,31.646686428437857,-84.11475110422937
"Rio Grande City-Roma, TX Micro Area",40100,19248.0,115.0,23139,302,187.0,162.6,26.56230284422944,-98.73828183133658
"Le Mars, IA Micro Area",30180,0.0,0.0,10891,187,187.0,,42.73783046691332,-96.21409873379929
"Elk City, OK Micro Area",21120,9531.0,234.0,10137,419,185.0,79.1,35.26872890098956,-99.68191753915126
"Sterling, CO Micro Area",44540,8949.0,217.0,8741,401,184.0,84.8,40.72459994647096,-103.11050652850287
"Youngstown-Warren, OH Metro Area",49660,260391.0,9417.0,202454,9601,184.0,2.0,41.19582583064198,-80.76728992700065
"McComb, MS Micro Area",32620,24330.0,55.0,26117,238,183.0,332.7,31.161795922805265,-90.25629240690179
"Muscatine, IA Micro Area",34700,22865.0,344.0,18454,527,183.0,53.2,41.48393079148791,-91.1128663552412
"Ottumwa, IA Micro Area",36900,16134.0,638.0,15730,819,181.0,28.4,41.03058712397894,-92.4094881715317
"Martinsville, VA Micro Area",32300,33557.0,600.0,32439,781,181.0,30.2,36.68292524311118,-79.87391073836491
"Ozark, AL Micro Area",37120,0.0,0.0,22968,180,180.0,,31.43162463988376,-85.61096656143907
"Danville, VA Micro Area",19260,53560.0,1423.0,51819,1601,178.0,12.5,36.81097609821871,-79.39782947785177
"Nantucket, MA Micro Area",34880,0.0,0.0,12594,177,177.0,,41.283929972597825,-70.0732635821341
"Elkins, WV Micro Area",21180,0.0,0.0,13072,177,177.0,,38.77470470440844,-79.87604346436957
"Gillette, WY Micro Area",23940,17515.0,969.0,20023,1144,175.0,18.1,44.245341788469204,-105.54840582063635
"Bucyrus, OH Micro Area",15340,20250.0,185.0,19812,360,175.0,94.6,40.85069542845336,-82.91975875302877
"Cody, WY Micro Area",17650,0.0,0.0,14989,175,175.0,,44.520178725882396,-109.5867319128522
"Sanford, NC Micro Area",41820,23633.0,413.0,27166,587,174.0,42.1,35.47507552249464,-79.17153728879637
"Enid, OK Metro Area",21420,26814.0,760.0,27804,932,172.0,22.6,36.37917086791697,-97.78269712397226
"Washington Court House, OH Micro Area",47920,12656.0,106.0,12725,276,170.0,160.4,39.55992978227223,-83.45608674889455
"Zanesville, OH Micro Area",49780,37644.0,883.0,38357,1052,169.0,19.1,39.965407738557275,-81.9443045325811
"Freeport, IL Micro Area",23300,22111.0,730.0,21330,898,168.0,23.0,42.3517622186679,-89.6622970952203
"The Dalles, OR Micro Area",45520,11367.0,270.0,12198,438,168.0,62.2,45.159399949646975,-121.16722261551199
"Jasper, IN Micro Area",27540,22978.0,341.0,18836,509,168.0,49.3,38.364058216351886,-86.87970883368627
"Lexington, NE Micro Area",30420,11293.0,320.0,11170,487,167.0,52.2,40.75894090253672,-99.82279005842003
"Greensburg, IN Micro Area",24700,11060.0,219.0,11685,382,163.0,74.4,39.30700814986706,-85.50116208997525
"Pocatello, ID Metro Area",38540,35654.0,1161.0,36168,1323,162.0,14.0,42.668086985864186,-112.22377763769497
"Fremont, OH Micro Area",23380,26385.0,524.0,26501,686,162.0,30.9,41.35736534153105,-83.1439576997584
"Lewiston, ID-WA Metro Area",30300,27064.0,989.0,28761,1150,161.0,16.3,46.26880272310345,-116.94464601587043
"Elizabeth City, NC Micro Area",21020,27328.0,162.0,17721,323,161.0,99.4,36.29516363764483,-76.2842338079968
"Morgan City, LA Micro Area",34020,22842.0,210.0,22507,369,159.0,75.7,29.705012496188058,-91.44372918131921
"Lincoln, IL Micro Area",30660,12081.0,234.0,11967,392,158.0,67.5,40.12445678963212,-89.36748389653853
"Fort Madison, IA Micro Area",22800,19837.0,723.0,15794,881,158.0,21.9,40.64216052465298,-91.47949366525218
"New Philadelphia-Dover, OH Micro Area",35420,40042.0,674.0,40913,831,157.0,23.3,40.44081215769143,-81.4739010536683
"Cambridge, MD Micro Area",15700,16347.0,412.0,16433,569,157.0,38.1,38.469297024662986,-76.02351886732778
"Sterling, IL Micro Area",44580,25729.0,635.0,25837,788,153.0,24.1,41.75610684160426,-89.9143236580828
"Austin, MN Micro Area",12380,16996.0,1009.0,17014,1162,153.0,15.2,43.67138482746413,-92.75243242003118
"Kankakee, IL Metro Area",28100,44849.0,1327.0,45415,1479,152.0,11.5,41.137812163670944,-87.86190795082435
"Cortland, NY Micro Area",18660,20515.0,614.0,20841,763,149.0,24.3,42.594907856002855,-76.0702703314253
"Mount Sterling, KY Micro Area",34460,20913.0,204.0,21097,351,147.0,72.1,38.051807048655704,-83.74823393534359
"Winnemucca, NV Micro Area",49080,0.0,0.0,7768,147,147.0,,41.40685120650609,-118.11099603596065
"Decatur, AL Metro Area",19460,66130.0,1354.0,69308,1501,147.0,10.9,34.49084661527576,-87.1024097238341
"Hannibal, MO Micro Area",25300,17918.0,415.0,17973,560,145.0,34.9,39.66063237144175,-91.5699948043256
"Laramie, WY Micro Area",29660,17608.0,728.0,18851,871,143.0,19.6,41.65209928271026,-105.7239567771335
"Burlington, IA-IL Micro Area",15460,22529.0,497.0,22168,639,142.0,28.6,40.872619921954296,-91.05874610552226
"Greenwood, MS Micro Area",24900,18520.0,90.0,17583,231,141.0,156.7,33.498700632426356,-90.10662374462932
"Corsicana, TX Micro Area",18620,20004.0,389.0,22191,530,141.0,36.2,32.046859691033255,-96.4727836302326
"Deming, NM Micro Area",19700,11108.0,122.0,11621,260,138.0,113.1,32.18206269256357,-107.74980192656756
"Williamsport, PA Metro Area",48700,52723.0,1692.0,52715,1828,136.0,8.0,41.34331617572172,-77.06427398545823
"Zapata, TX Micro Area",49820,0.0,0.0,6255,136,136.0,,27.00069490966809,-99.16846481184622
"Gadsden, AL Metro Area",23460,47443.0,913.0,47603,1048,135.0,14.8,34.04517221866002,-86.03491861966317
"Hastings, NE Micro Area",25580,16431.0,506.0,18515,641,135.0,26.7,40.40771686493107,-98.35040121431993
"Spirit Lake, IA Micro Area",44020,12692.0,319.0,14206,453,134.0,42.0,43.37791327690479,-95.15097977386309
"Connersville, IN Micro Area",18220,10994.0,297.0,10905,430,133.0,44.8,39.63995100943981,-85.17855762634335
"Riverton, WY Micro Area",40180,17494.0,243.0,17469,374,131.0,53.9,43.03950294432163,-108.62598845372699
"Fort Dodge, IA Micro Area",22700,17097.0,773.0,17082,902,129.0,16.7,42.42767691889116,-94.18169897488505
"Dixon, IL Micro Area",19940,14971.0,422.0,14995,550,128.0,30.3,41.74613427612376,-89.30031391473814
"Lumberton, NC Micro Area",31300,52327.0,501.0,49111,628,127.0,25.3,34.64029713706233,-79.10376049914831
