zip,City,Metro,price_aug,price_dec,change_aug_dec,total_emp,info_emp,info_pct
95133,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1120754.9084727895,1128055.6740451546,0.6514149986916961,14809,763,5.1522722668647445
94585,Suisun City,"Vallejo, CA",526640.5356613306,520953.62994348194,-1.0798458023568724,14137,158,1.1176345759354884
94306,Palo Alto,"San Jose-Sunnyvale-Santa Clara, CA",3110556.9559001583,3285040.5730449706,5.6094011335767,13851,1032,7.45072557938055
94704,Berkeley,"San Francisco-Oakland-Berkeley, CA",1118397.9821505465,1110896.3710433028,-0.6707461232019557,10928,583,5.334919472913616
94607,Oakland,"San Francisco-Oakland-Berkeley, CA",537415.7282132412,521830.6899225198,-2.899996682742682,16101,765,4.751257685858022
94518,Concord,"San Francisco-Oakland-Berkeley, CA",830698.9977615824,830586.4988333755,-0.013542682549274546,14120,377,2.669971671388102
95363,Patterson,"Modesto, CA",505333.8256912438,502483.1196158764,-0.5641233439039893,13603,169,1.2423730059545688
94402,San Mateo,"San Francisco-Oakland-Berkeley, CA",2257910.2478944375,2319645.99238678,2.734198338924807,13037,935,7.171895374702769
95492,Windsor,"Santa Rosa-Petaluma, CA",778772.0850927345,785906.9695284646,0.9161710559875099,14425,282,1.9549393414211438
95370,Sonora,"Sonora, CA",401255.83424435765,396431.15258804493,-1.202395390810586,11782,113,0.9590901374978781
95776,Woodland,"Sacramento-Roseville-Folsom, CA",592473.4570115553,591655.9991039053,-0.13797376033912256,12967,81,0.6246626050744197
94506,Danville,"San Francisco-Oakland-Berkeley, CA",2009361.7937443953,2005634.1752346756,-0.1855125603226132,12506,691,5.525347833040141
94547,Hercules,"San Francisco-Oakland-Berkeley, CA",741026.2167187156,735202.719846311,-0.7858692096200313,13829,329,2.379058500253091
94530,El Cerrito,"San Francisco-Oakland-Berkeley, CA",1067369.1185319738,1071828.7622536037,0.4178164464570157,14417,468,3.2461677186654643
94559,Napa,"Napa, CA",794185.6587891057,786822.6008740658,-0.927120482919119,13969,211,1.5104875080535471
95330,Lathrop,"Stockton, CA",643435.3258134905,635797.8115965538,-1.1869901931916347,14269,293,2.053402480902656
94619,Oakland,"San Francisco-Oakland-Berkeley, CA",805641.0435240133,797189.9609426102,-1.048988584846247,14495,620,4.277337012763022
95354,Modesto,"Modesto, CA",388094.9814466142,387904.07754524285,-0.04918999484604484,11249,91,0.8089607965152459
94947,Novato,"San Francisco-Oakland-Berkeley, CA",959013.361459927,963920.011927106,0.5116352560207711,11361,358,3.151131062406478
95864,Sacramento,"Sacramento-Roseville-Folsom, CA",697077.2041402198,711818.147984948,2.1146787984423847,11406,232,2.0340171839382784
95945,Grass Valley,"Truckee-Grass Valley, CA",468129.77488382877,466057.44380353764,-0.442683031816423,11274,128,1.1353556856483946
95618,Davis,"Sacramento-Roseville-Folsom, CA",817987.2261837776,818242.0737833645,0.031155449795456935,13368,114,0.8527827648114902
94133,San Francisco,"San Francisco-Oakland-Berkeley, CA",1215242.6773776326,1258655.1705176206,3.572331185213779,13966,902,6.45854217385078
94510,Benicia,"Vallejo, CA",757169.3870790737,762403.3210961036,0.6912500830522013,13141,392,2.983030210790655
95003,Aptos,"Santa Cruz-Watsonville, CA",1275708.968054221,1292620.2943061711,1.325641402187849,12394,234,1.8880103275778604
94089,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",1365505.00201243,1417524.2574398303,3.809525073195362,13800,1508,10.927536231884059
95677,Rocklin,"Sacramento-Roseville-Folsom, CA",632861.4832321379,634837.7283059958,0.3122713462928585,13908,157,1.1288467069312624
94803,Richmond,"San Francisco-Oakland-Berkeley, CA",725879.6642687445,716529.8522564159,-1.2880663934493477,14065,260,1.848560255954497
95215,,"Stockton, CA",421286.86065047764,424732.52294815105,0.8178898084676121,9264,23,0.24827288428324695
95054,Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",1446518.5837634848,1472960.383149632,1.8279612638886487,15178,1735,11.431018579522993
94123,San Francisco,"San Francisco-Oakland-Berkeley, CA",2060403.026946415,2148998.5235026428,4.299911007582299,16526,1132,6.849812416797773
95503,Eureka,"Eureka-Arcata, CA",422952.4523109224,422746.2211733426,-0.0487598869454402,10787,71,0.6581996848057847
94609,Oakland,"San Francisco-Oakland-Berkeley, CA",891993.1605232087,894193.5503265861,0.24668236268614238,15569,1017,6.532211445821826
95531,Crescent City,"Crescent City, CA",350938.69580654934,353386.8685814238,0.6976069621641309,8623,72,0.8349762263713325
95620,Dixon,"Vallejo, CA",599644.6790942801,598677.34600467,-0.16131771419554372,11132,136,1.221703197987783
95409,Santa Rosa,"Santa Rosa-Petaluma, CA",768260.2608667252,766374.1596765806,-0.2455028961171083,11504,152,1.321279554937413
95949,Grass Valley,"Truckee-Grass Valley, CA",524717.0504347599,527647.8143408634,0.558541770974495,9093,145,1.5946332343560983
94030,Millbrae,"San Francisco-Oakland-Berkeley, CA",1885475.9643509518,1942392.0254657392,3.0186574738108582,11713,451,3.8504226073593446
94085,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",1458725.8018406748,1511350.1920601206,3.6075587442850727,14993,2031,13.546321616754486
94024,Los Altos,"San Jose-Sunnyvale-Santa Clara, CA",4146452.736993004,4392148.947616906,5.925455472623571,10306,732,7.102658645449253
95405,Santa Rosa,"Santa Rosa-Petaluma, CA",707330.8915058943,717482.0633621489,1.43513763899708,11890,371,3.12026913372582
95501,Eureka,"Eureka-Arcata, CA",386978.8626456239,385034.44177900907,-0.5024617761604856,10441,163,1.5611531462503592
94503,American Canyon,"Napa, CA",730732.4577283523,726578.7867198953,-0.5684256891187772,10809,160,1.4802479415302063
