year_pair,msa,inner_to_outer_returns,inner_to_outer_exemptions,inner_to_outer_dependents,outer_to_inner_returns,outer_to_inner_exemptions,outer_to_inner_dependents,net_outflow_exemptions,net_outflow_dependents
1819,"New York-Newark-Jersey City, NY-NJ",60886,114382,23053,37130,55517,0,58865,23053
1819,"Los Angeles-Long Beach-Anaheim, CA",20908,36042,4680,16202,25914,1611,10128,3069
1819,"Chicago-Naperville-Elgin, IL-IN",36140,69483,15273,27133,45439,4739,24044,10534
1819,"Dallas-Fort Worth-Arlington, TX",45174,90713,22952,30457,54336,8650,36377,14302
1819,"Houston-The Woodlands-Sugar Land, TX",36583,79158,24283,26037,50693,11637,28465,12646
1819,"Atlanta-Sandy Springs-Roswell, GA",32239,63142,14783,27420,49034,7904,14108,6879
1819,"Washington-Arlington-Alexandria, DC-VA-MD-WV",22811,38648,4431,18394,27553,0,11095,4431
1819,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18257,33529,6143,13593,20418,28,13111,6115
1819,"Miami-Fort Lauderdale-Pompano Beach, FL",19060,34194,5604,12158,21080,2843,13114,2761
1819,"Phoenix-Mesa-Chandler, AZ",8192,17340,5052,6119,12691,3512,4649,1540
1819,"Austin-Round Rock-San Marcos, TX",16431,31676,7029,11525,19798,2510,11878,4519
1819,"Charlotte-Concord-Gastonia, NC-SC",13254,27080,7199,7970,14357,2402,12723,4797
1920,"New York-Newark-Jersey City, NY-NJ",76802,146824,31621,35257,54188,1302,92636,30319
1920,"Los Angeles-Long Beach-Anaheim, CA",22978,39565,5098,16339,26230,1721,13335,3377
1920,"Chicago-Naperville-Elgin, IL-IN",41336,81156,19152,26845,45038,4770,36118,14382
1920,"Dallas-Fort Worth-Arlington, TX",52142,106830,28617,32403,58345,9740,48485,18877
1920,"Houston-The Woodlands-Sugar Land, TX",42858,94646,30359,27827,54473,12732,40173,17627
1920,"Atlanta-Sandy Springs-Roswell, GA",35488,70601,17369,28336,50724,8220,19877,9149
1920,"Washington-Arlington-Alexandria, DC-VA-MD-WV",26163,45017,5772,17699,26742,193,18275,5579
1920,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20549,38640,7816,13224,19898,62,18742,7754
1920,"Miami-Fort Lauderdale-Pompano Beach, FL",20196,36376,6082,12357,21119,2583,15257,3499
1920,"Phoenix-Mesa-Chandler, AZ",10349,22046,6522,6614,13824,3903,8222,2619
1920,"Austin-Round Rock-San Marcos, TX",19434,37483,8332,11723,20250,2665,17233,5667
1920,"Charlotte-Concord-Gastonia, NC-SC",15090,31272,8637,8604,15687,2781,15585,5856
2021,"New York-Newark-Jersey City, NY-NJ",82271,148432,25025,33504,49341,0,99091,25025
2021,"Los Angeles-Long Beach-Anaheim, CA",24198,40086,3789,16193,24959,669,15127,3120
2021,"Chicago-Naperville-Elgin, IL-IN",43791,82844,17157,25759,41399,2760,41445,14397
2021,"Dallas-Fort Worth-Arlington, TX",54213,106303,24983,32705,55936,6878,50367,18105
2021,"Houston-The Woodlands-Sugar Land, TX",45565,95075,26727,28269,52618,10214,42457,16513
2021,"Atlanta-Sandy Springs-Roswell, GA",37375,69704,13641,27683,47571,6046,22133,7595
2021,"Washington-Arlington-Alexandria, DC-VA-MD-WV",25659,42626,4137,16978,24224,0,18402,4137
2021,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23212,41455,6637,12652,18161,0,23294,6637
2021,"Miami-Fort Lauderdale-Pompano Beach, FL",21060,36146,4556,12488,20463,1731,15683,2825
2021,"Phoenix-Mesa-Chandler, AZ",11227,22380,5539,6932,13430,3032,8950,2507
2021,"Austin-Round Rock-San Marcos, TX",20872,38760,7452,11637,19121,1665,19639,5787
2021,"Charlotte-Concord-Gastonia, NC-SC",15901,31611,7759,8955,15411,1978,16200,5781
2122,"New York-Newark-Jersey City, NY-NJ",74332,134861,23363,37262,53241,0,81620,23363
2122,"Los Angeles-Long Beach-Anaheim, CA",21267,34853,2952,16322,24663,180,10190,2772
2122,"Chicago-Naperville-Elgin, IL-IN",41885,78123,15295,25884,40420,1594,37703,13701
2122,"Dallas-Fort Worth-Arlington, TX",52153,101120,22890,33468,56697,6495,44423,16395
2122,"Houston-The Woodlands-Sugar Land, TX",42398,86663,23066,29090,52223,8588,34440,14478
2122,"Atlanta-Sandy Springs-Roswell, GA",35735,65251,11648,27481,45370,4148,19881,7500
2122,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23189,38032,3248,16893,23886,0,14146,3248
2122,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",21898,39051,6204,12864,18164,0,20887,6204
2122,"Miami-Fort Lauderdale-Pompano Beach, FL",20116,33629,3455,12004,19193,1187,14436,2268
2122,"Phoenix-Mesa-Chandler, AZ",10920,21418,5038,6868,12330,2028,9088,3010
2122,"Austin-Round Rock-San Marcos, TX",20167,36628,6377,11142,18318,1605,18310,4772
2122,"Charlotte-Concord-Gastonia, NC-SC",15229,29599,6755,8787,14872,1691,14727,5064
2223,"New York-Newark-Jersey City, NY-NJ",67509,119895,18631,39490,56237,0,63658,18631
2223,"Los Angeles-Long Beach-Anaheim, CA",19802,31420,1717,16006,23952,0,7468,1717
2223,"Chicago-Naperville-Elgin, IL-IN",36711,66060,10993,26153,40006,776,26054,10217
2223,"Dallas-Fort Worth-Arlington, TX",52099,98800,20651,34929,58870,6476,39930,14175
2223,"Houston-The Woodlands-Sugar Land, TX",42053,84360,21280,29020,52813,9283,31547,11997
2223,"Atlanta-Sandy Springs-Roswell, GA",34849,62975,10701,28028,46533,4491,16442,6210
2223,"Washington-Arlington-Alexandria, DC-VA-MD-WV",21973,35566,2606,17482,24781,0,10785,2606
2223,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19974,35421,5460,13462,19296,0,16125,5460
2223,"Miami-Fort Lauderdale-Pompano Beach, FL",20205,33544,3236,12237,19455,1099,14089,2137
2223,"Phoenix-Mesa-Chandler, AZ",10805,20751,4543,6549,11753,1929,8998,2614
2223,"Austin-Round Rock-San Marcos, TX",19937,36216,6310,12190,19313,1028,16903,5282
2223,"Charlotte-Concord-Gastonia, NC-SC",14858,27986,5699,9167,15261,1510,12725,4189
