fips_5,pop_under18_2024
18127,36557.0
18145,10062.0
18173,14960.0
18017,8683.0
18075,5205.0
18085,18596.0
18093,9411.0
18105,21659.0
18125,2627.0
18143,5459.0
18179,7046.0
18181,5671.0
18003,99919.0
18045,3784.0
18077,6427.0
18099,11070.0
18111,2977.0
18121,3731.0
18171,1772.0
18183,7884.0
18013,2526.0
18015,4427.0
18025,2202.0
18101,2149.0
18119,4434.0
18137,6785.0
18001,11333.0
18011,19633.0
18031,6100.0
18037,10391.0
18113,11565.0
18147,4309.0
18005,20026.0
18007,2158.0
18041,5115.0
18073,7494.0
18097,243079.0
18149,5188.0
18155,2334.0
18067,19050.0
18095,28419.0
18163,38752.0
18169,6487.0
18023,8531.0
18061,8687.0
18129,5315.0
18131,2715.0
18035,20326.0
18049,4521.0
18081,40764.0
18115,1162.0
18153,3806.0
18177,14886.0
18053,14196.0
18069,7956.0
18079,6358.0
18087,12748.0
18123,3869.0
18165,3298.0
18019,27522.0
18103,7305.0
18135,5532.0
18159,3090.0
18161,1397.0
18167,21588.0
18175,6316.0
18029,10915.0
18065,9801.0
18071,12226.0
18089,114054.0
18109,15976.0
19029,2945.0
19059,3382.0
19077,2245.0
19079,3516.0
19143,1312.0
19147,1993.0
19003,791.0
19015,5438.0
19045,10512.0
19061,22008.0
19065,4040.0
19081,2302.0
19083,3070.0
19093,1659.0
19097,4249.0
19153,123450.0
19193,27229.0
19053,1681.0
19067,3400.0
19121,4196.0
19127,10138.0
19173,1331.0
19187,7893.0
19189,2213.0
19051,2691.0
19087,4024.0
19165,2688.0
19167,9806.0
19179,8416.0
19017,5600.0
19023,3110.0
19025,2107.0
19033,8718.0
19057,8355.0
19071,1412.0
19115,2248.0
19175,2602.0
19031,3727.0
19069,2438.0
19107,2191.0
19113,51284.0
19145,2690.0
19149,6348.0
19177,1713.0
19013,29014.0
19027,4934.0
19063,1769.0
19109,3160.0
19163,39542.0
19169,16423.0
19195,1553.0
19021,5470.0
19035,2684.0
19037,2678.0
19091,2287.0
19159,1030.0
19151,1616.0
19171,3877.0
19185,1708.0
19009,1193.0
19137,2222.0
19001,1689.0
19039,2425.0
19041,3657.0
19043,3622.0
19119,3349.0
19125,7701.0
19129,3325.0
19131,2527.0
19135,1681.0
19155,20872.0
19183,5505.0
19005,3462.0
19047,4258.0
19191,3671.0
19089,2301.0
19095,3838.0
19099,8279.0
19161,2138.0
19019,5149.0
19075,2917.0
19111,6908.0
19141,3498.0
19157,3560.0
19197,3288.0
19007,2615.0
19011,5762.0
19049,29794.0
19055,3996.0
19073,1912.0
19103,30228.0
19105,4173.0
19139,9745.0
19181,13509.0
19085,3351.0
19101,2571.0
19117,2112.0
19123,5059.0
19133,1807.0
20007,924.0
20009,5930.0
20011,3712.0
20035,8007.0
20059,5900.0
20067,2154.0
20087,3922.0
20147,1043.0
20175,6662.0
20205,1992.0
20041,4360.0
20063,674.0
20139,3512.0
20209,45376.0
20037,8651.0
20091,143961.0
20109,701.0
20149,7591.0
20197,1614.0
20033,404.0
20043,1585.0
20049,536.0
20065,470.0
20105,639.0
20111,7190.0
20143,1375.0
20145,965.0
20163,1031.0
20171,1283.0
20015,16503.0
20021,4305.0
20025,432.0
20045,20743.0
20053,1127.0
20093,1131.0
20151,2187.0
20179,561.0
20019,742.0
20027,1817.0
20047,621.0
20057,10138.0
20071,306.0
20079,7775.0
20121,8105.0
20123,1398.0
20157,1057.0
20185,912.0
20189,1425.0
20051,5694.0
20095,1635.0
20103,19785.0
20201,1361.0
20031,1766.0
20099,4701.0
20137,1017.0
20155,13208.0
20183,723.0
20013,2207.0
20167,1419.0
20203,611.0
20207,635.0
20003,1972.0
20029,2063.0
20113,6610.0
20055,11368.0
20089,612.0
20101,362.0
20141,760.0
20153,569.0
20159,2227.0
20177,40088.0
20187,585.0
20039,572.0
20075,739.0
20115,2435.0
20129,580.0
20191,5344.0
20107,2142.0
20125,6972.0
20127,1058.0
20135,580.0
20161,11609.0
20165,564.0
20169,11986.0
20173,130255.0
20005,3479.0
20017,492.0
20023,642.0
20069,1641.0
20073,1236.0
20077,1394.0
20083,403.0
20193,1870.0
20195,525.0
20001,2763.0
20085,3376.0
20119,1018.0
20133,3749.0
20061,11371.0
20081,958.0
20097,596.0
20117,2388.0
20131,2663.0
20181,1347.0
20199,405.0
21019,9921.0
21035,7144.0
21089,7305.0
21093,27514.0
21123,3312.0
21177,6393.0
21211,10935.0
21229,2787.0
21027,4789.0
21079,3938.0
21083,8861.0
21103,3752.0
21115,4864.0
21185,16838.0
21187,2357.0
21205,4971.0
21217,6208.0
21223,1853.0
21233,3139.0
21237,1484.0
21017,4593.0
21021,6436.0
21033,2918.0
21077,2028.0
21081,6681.0
21105,863.0
21145,14452.0
21165,1199.0
21167,5053.0
21219,3423.0
21221,3162.0
21225,2520.0
21039,1126.0
21071,7648.0
21109,3098.0
21117,39728.0
21163,6544.0
21215,4663.0
21005,5702.0
21097,4495.0
21135,2934.0
21157,6213.0
21175,2622.0
21189,910.0
21025,2693.0
21045,3654.0
21053,1950.0
21131,2089.0
21173,6615.0
21199,14410.0
21239,5885.0
21001,3867.0
21015,35963.0
21037,18875.0
21085,6363.0
21107,10266.0
21137,5991.0
21149,2105.0
21153,2465.0
21179,10907.0
21009,10950.0
21031,2929.0
21101,9841.0
21169,2435.0
21013,5078.0
21057,1374.0
21087,2398.0
21197,3079.0
21133,4326.0
21181,1916.0
21193,6261.0
21011,3284.0
21047,20487.0
21095,6008.0
21141,6908.0
21195,11151.0
21203,3423.0
21231,3903.0
21029,17723.0
21043,5771.0
21055,1986.0
21091,2079.0
21111,176359.0
21127,3688.0
21147,3596.0
21213,4731.0
21049,8402.0
21061,2221.0
21119,2644.0
21129,1283.0
21139,1760.0
21159,2060.0
21209,14584.0
21003,5015.0
21007,1536.0
21041,2981.0
21063,1188.0
21075,1390.0
21121,6871.0
21125,14105.0
21151,20574.0
21155,4586.0
21191,3329.0
21227,35303.0
21023,1954.0
21065,2915.0
