sma_code,sma_name,central_cities,state,county_fips,county_name,is_central_county,partial_county,new_england_towns
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34039,"Union County, NJ",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36005,"Bronx County, NY",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36047,"Kings County, NY",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36059,"Nassau County, NY",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36061,"New York County, NY",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36081,"Queens County, NY",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36085,"Richmond County, NY",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36087,"Rockland County, NY",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36103,"Suffolk County, NY",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NY,36119,"Westchester County, NY",0,0,
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,VA,51129,Norfolk County,0,0,
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,VA,51151,Princess Anne County,0,0,
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,VA,51710,Norfolk city,1,0,
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,VA,51740,Portsmouth city,1,0,
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,VA,51785,South Norfolk city,0,0,
5840,"Ogden, UT SMA",Ogden,UT,49057,Weber County,1,0,
5880,"Oklahoma City, OK SMA",Oklahoma City,OK,40109,Oklahoma County,1,0,
5920,"Omaha, NE-IA SMA",Omaha,IA,19155,"Pottawattamie County, IA",0,0,
5920,"Omaha, NE-IA SMA",Omaha,NE,31055,"Douglas County, NE",1,0,
5920,"Omaha, NE-IA SMA",Omaha,NE,31153,"Sarpy County, NE",0,0,
5960,"Orlando, FL SMA",Orlando,FL,12095,Orange County,1,0,
6120,"Peoria, IL SMA",Peoria,IL,17143,Peoria County,1,0,
6120,"Peoria, IL SMA",Peoria,IL,17179,Tazewell County,0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,NJ,34005,"Burlington County, NJ",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,NJ,34007,"Camden County, NJ",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,NJ,34015,"Gloucester County, NJ",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,PA,42017,"Bucks County, PA",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,PA,42029,"Chester  County, PA",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,PA,42045,"Delaware County, PA",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,PA,42091,"Montgomery County, PA",0,0,
6160,"Philadelphia, PA-NJ SMA",Philadelphia,PA,42101,"Philadelphia County, PA",1,0,
6200,"Phoenix, AZ SMA",Phoenix,AZ,04013,Maricopa County,1,0,
6280,"Pittsburgh, PA SMA",Pittsburgh,PA,42003,Allegheny County,1,0,
6280,"Pittsburgh, PA SMA",Pittsburgh,PA,42007,Beaver County,0,0,
6280,"Pittsburgh, PA SMA",Pittsburgh,PA,42125,Washington County,0,0,
6280,"Pittsburgh, PA SMA",Pittsburgh,PA,42129,Westmoreland County,0,0,
6320,"Pittsfield, MA SMA",Pittsfield,MA,25003,Berkshire County,1,1,Dalton town|Lee town|Lenox town|Pittsfield city
6360,"Ponce, PR SMA",Ponce,PR,72113,Ponce Municipio,1,0,
6400,"Portland, ME SMA",Portland,ME,23005,Cumberland County,1,1,Cape Elizabeth town|Falmouth town|Portland city|South Portland city|Westbrook city
6440,"Portland, OR-WA SMA",Portland,OR,41005,"Clackamas County, OR",0,0,
6440,"Portland, OR-WA SMA",Portland,OR,41051,"Multnomah County, OR",1,0,
6440,"Portland, OR-WA SMA",Portland,OR,41067,"Washington County, OR",0,0,
6440,"Portland, OR-WA SMA",Portland,WA,53011,"Clark County, WA",0,0,
6480,"Providence, RI SMA",Providence,MA,25005,"Bristol County, MA",0,1,Attleboro city|North Attleboro town|Seekonk town
6480,"Providence, RI SMA",Providence,MA,25021,"Norfolk County, MA",0,1,Bellingham town|Franklin town|Plainville town|Wrentham town
6480,"Providence, RI SMA",Providence,MA,25027,"Worcester County, MA",0,1,Blackstone town|Millville town
6480,"Providence, RI SMA",Providence,RI,44001,"Bristol County, RI",0,0,Barrington town|Bristol town|Warren town
6480,"Providence, RI SMA",Providence,RI,44003,"Kent County, RI",0,1,East Greenwich town|Warwick city|West Warwick town
6480,"Providence, RI SMA",Providence,RI,44007,"Providence County, RI",1,1,Central Falls city|Cranston city|Cumberland town|East Providence city|Johnston town|Lincoln town|North Providence town|North Smithfield town|Pawtucket city|Providence city|Smithfield town|Woonsocket city
6480,"Providence, RI SMA",Providence,RI,44009,"Washington County, RI",0,1,North Kingstown town
