fips_5,age_0_4,age_5_17,pop_under18
17089,38459,109313,147772
17091,7364,20950,28314
17093,9718,26464,36182
17095,2673,8049,10722
17097,45438,142983,188421
17099,6493,19369,25862
17101,876,2348,3224
17103,1900,5502,7402
17105,2213,6416,8629
17107,1553,4397,5950
17109,1494,3776,5270
17111,18767,63203,81970
17113,10697,27759,38456
17115,6931,18215,25146
17117,2737,7986,10723
17119,16263,44193,60456
17121,2517,6526,9043
17123,672,2019,2691
17125,730,2435,3165
17127,922,2555,3477
17129,709,2225,2934
17131,900,2749,3649
17133,1849,6154,8003
17135,1640,4599,6239
17137,1915,5507,7422
17139,972,2758,3730
17141,3032,9816,12848
17143,12741,32093,44834
17145,1123,3422,4545
17147,897,3012,3909
17149,981,2715,3696
17151,160,610,770
17153,332,1027,1359
17155,295,949,1244
17157,1711,4854,6565
17159,974,2634,3608
17161,9424,23709,33133
17163,18112,49360,67472
17165,1467,4145,5612
17167,12450,34317,46767
17169,397,1151,1548
17171,283,913,1196
17173,1237,3693,4930
17175,315,1009,1324
17177,2777,7793,10570
17179,8558,23157,31715
17181,987,2759,3746
17183,5501,14390,19891
17185,695,1899,2594
17187,1059,2871,3930
17189,762,2362,3124
17191,1027,2743,3770
17193,925,2172,3097
17195,3491,10062,13553
17197,46455,146228,192683
17199,4026,10650,14676
17201,19268,52895,72163
17203,2476,7352,9828
18001,3197,7478,10675
18003,26499,69534,96033
18005,5174,14131,19305
18007,582,1663,2245
18009,773,2101,2874
18011,3953,12059,16012
18013,674,2368,3042
18015,1161,3662,4823
18017,2551,7264,9815
18019,7313,19001,26314
18021,1602,4761,6363
18023,2412,6317,8729
18025,589,1844,2433
18027,2658,6601,9259
18029,2914,9327,12241
18031,1642,4841,6483
18033,2801,8281,11082
18035,6323,16892,23215
18037,2723,7892,10615
18039,15726,40370,56096
18041,1415,4251,5666
18043,4509,13274,17783
18045,1004,3072,4076
18047,1372,4521,5893
18049,1339,3733,5072
18051,2149,5870,8019
18053,3945,10928,14873
18055,1921,5824,7745
18057,21463,62844,84307
18059,4205,13846,18051
18061,2262,6832,9094
18063,9931,30134,40065
18065,2558,8285,10843
18067,5105,14165,19270
18069,2207,6459,8666
18071,2841,7665,10506
18073,2076,6343,8419
18075,1505,4190,5695
18077,1798,5301,7099
18079,1790,5450,7240
18081,9572,27393,36965
18083,2277,5896,8173
18085,5174,14318,19492
18087,3707,9189,12896
18089,32566,92695,125261
18091,6622,18313,24935
18093,2650,8042,10692
18095,7960,21747,29707
18097,69060,158919,227979
18099,3106,9270,12376
18101,615,1816,2431
18103,2012,6196,8208
18105,6492,16295,22787
18107,2459,6621,9080
18109,4266,12856,17122
18111,759,2405,3164
18113,3295,9252,12547
18115,271,999,1270
18117,1166,3710,4876
18119,1152,3760,4912
18121,996,2630,3626
18123,1106,3009,4115
18125,732,2050,2782
18127,9504,29894,39398
18129,1442,4526,5968
18131,763,2393,3156
18133,1903,5873,7776
18135,1541,4773,6314
18137,1870,5556,7426
18139,967,3217,4184
18141,17603,47481,65084
18143,1459,4180,5639
18145,2721,7942,10663
18147,1226,3776,5002
18149,1412,4115,5527
18151,1814,5759,7573
18153,1125,3315,4440
18155,767,1910,2677
18157,11042,25194,36236
18159,774,2795,3569
18161,393,1435,1828
18163,11614,28262,39876
18165,859,2837,3696
18167,6354,16645,22999
18169,1835,5458,7293
18171,489,1442,1931
18173,3779,11591,15370
18175,1630,5339,6969
18177,4249,11325,15574
18179,1809,5011,6820
18181,1473,4407,5880
18183,2054,6075,8129
19001,376,1283,1659
19003,217,608,825
19005,919,2288,3207
19007,797,2049,2846
19009,317,967,1284
19011,1584,4936,6520
19013,8371,19985,28356
