fips_5,msa_name_short,County/County Equivalent,state_fips,cbsa_code,pop_under18,aged_out_5_17,pop_under18_2024,delta_under18,births_2012_2024,deaths_2012_2024,net_migration_implied,delta_pct_of_baseline,births_pct_of_baseline,aging_out_pct_of_baseline,net_mig_pct_of_baseline
18111,"Chicago-Naperville-Elgin, IL-IN",Newton County,18,16980,3164,2405,2977.0,-187.0,,0,,-5.910240202275601,,-76.01137800252845,
18127,"Chicago-Naperville-Elgin, IL-IN",Porter County,18,16980,39398,29894,36557.0,-2841.0,21716.0,0,5337.0,-7.211025940403067,55.11954921569623,-75.87694806842987,13.546372912330575
48085,"Dallas-Fort Worth-Arlington, TX",Collin County,48,19100,230022,171667,301180.0,71158.0,150617.0,0,92208.0,30.935301840693498,65.47938892801558,-74.63068749945657,40.086600412134494
48113,"Dallas-Fort Worth-Arlington, TX",Dallas County,48,19100,660186,466633,651464.0,-8722.0,495165.0,0,-37254.0,-1.3211428294450351,75.00386254782742,-70.68205021009231,-5.642955167180158
48121,"Dallas-Fort Worth-Arlington, TX",Denton County,48,19100,186012,136583,235469.0,49457.0,134784.0,0,51256.0,26.588069586908368,72.45984130056125,-73.4269832053846,27.55521149173172
48139,"Dallas-Fort Worth-Arlington, TX",Ellis County,48,19100,43309,32582,60523.0,17214.0,30677.0,0,19119.0,39.74693481724353,70.83285229398047,-75.23147613659978,44.14555865986284
48231,"Dallas-Fort Worth-Arlington, TX",Hunt County,48,19100,21378,15779,29384.0,8006.0,,0,,37.44971465993077,,-73.80952380952381,
48257,"Dallas-Fort Worth-Arlington, TX",Kaufman County,48,19100,29948,22321,57044.0,27096.0,22997.0,0,26420.0,90.4768264992654,76.78976893281688,-74.5325230399359,88.2195806063844
48397,"Dallas-Fort Worth-Arlington, TX",Rockwall County,48,19100,23643,18040,35636.0,11993.0,,0,,50.725373260584526,,-76.3016537664425,
48251,"Dallas-Fort Worth-Arlington, TX",Johnson County,48,19100,40913,30463,53353.0,12440.0,28710.0,0,14193.0,30.405983428250188,70.17329455185394,-74.45799623591523,34.69068511231149
48367,"Dallas-Fort Worth-Arlington, TX",Parker County,48,19100,29601,22482,43688.0,14087.0,18515.0,0,18054.0,47.589608459173675,62.54856254856255,-75.95013681970204,60.99118273031316
48439,"Dallas-Fort Worth-Arlington, TX",Tarrant County,48,19100,513110,370739,551303.0,38193.0,360211.0,0,48721.0,7.4434331819687785,70.20151624408022,-72.25331800198788,9.49523493987644
48497,"Dallas-Fort Worth-Arlington, TX",Wise County,48,19100,15516,11471,19799.0,4283.0,,0,,27.603763856664088,,-73.93013663315287,
48015,"Houston-The Woodlands-Sugar Land, TX",Austin County,48,26420,7085,5254,7635.0,550.0,,0,,7.762879322512351,,-74.15666901905435,
48039,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,48,26420,87843,63156,103250.0,15407.0,61310.0,0,17253.0,17.539246155072117,69.7949751260772,-71.89645162391994,19.64072265291486
48071,"Houston-The Woodlands-Sugar Land, TX",Chambers County,48,26420,10028,7545,15413.0,5385.0,,0,,53.699641005185484,,-75.23932987634623,
48157,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,48,26420,176335,132598,248961.0,72626.0,120316.0,0,84908.0,41.186378200584116,68.2314911957354,-75.1966427538492,48.15152975869793
48167,"Houston-The Woodlands-Sugar Land, TX",Galveston County,48,26420,74286,54258,84636.0,10350.0,51753.0,0,12855.0,13.932638720620306,69.66723204910751,-73.03933446409822,17.304741135611017
48201,"Houston-The Woodlands-Sugar Land, TX",Harris County,48,26420,1159880,821351,1272618.0,112738.0,876894.0,0,57195.0,9.719798599855158,75.6021312549574,-70.81344621857434,4.931113563472083
48291,"Houston-The Woodlands-Sugar Land, TX",Liberty County,48,26420,19242,13942,35266.0,16024.0,,0,,83.27616671863632,,-72.45608564598275,
48339,"Houston-The Woodlands-Sugar Land, TX",Montgomery County,48,26420,128982,95197,190255.0,61273.0,98564.0,0,57906.0,47.5050782279698,76.4168643686716,-73.80642260160333,44.89463646090152
48407,"Houston-The Woodlands-Sugar Land, TX",San Jacinto County,48,26420,6326,4750,6184.0,-142.0,,0,,-2.2447043945621243,,-75.08694277584571,
48473,"Houston-The Woodlands-Sugar Land, TX",Waller County,48,26420,10764,7619,15486.0,4722.0,,0,,43.86845039018952,,-70.78223708658491,
06059,"Los Angeles-Long Beach-Anaheim, CA",Orange County,06,31080,732740,540872,642905.0,-89835.0,451500.0,0,-463.0,-12.26014684608456,61.61803641127822,-73.81499576930426,-0.06318748805852008
06037,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,06,31080,2368374,1722207,1944946.0,-423428.0,1444135.0,0,-145356.0,-17.878426295846854,60.97580027478769,-72.71685130811265,-6.137375262521882
12011,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,12,33100,395110,290028,415514.0,20404.0,277636.0,0,32796.0,5.164131507681406,70.26802662549669,-73.40436840373566,8.300473285920376
12086,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,12,33100,547850,395725,560291.0,12441.0,395180.0,0,12986.0,2.2708770648900245,72.13288308843661,-72.2323628730492,2.3703568495026013
12099,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,12,33100,269287,198676,296112.0,26825.0,191424.0,0,34077.0,9.961490900043449,71.08549614351975,-73.77853368339356,12.654528439917263
34023,"New York-Newark-Jersey City, NY-NJ",Middlesex County,34,35620,184822,134880,187435.0,2613.0,116121.0,0,21372.0,1.4137927303026696,62.82855937063769,-72.9783250911688,11.563558450833774
34025,"New York-Newark-Jersey City, NY-NJ",Monmouth County,34,35620,146790,113109,132733.0,-14057.0,78549.0,0,20503.0,-9.576265413175285,53.51113836092377,-77.05497649703659,13.967572722937529
34029,"New York-Newark-Jersey City, NY-NJ",Ocean County,34,35620,135875,96784,166276.0,30401.0,119282.0,0,7903.0,22.374241030358785,87.78804047838086,-71.23017479300829,5.8163753449862
34035,"New York-Newark-Jersey City, NY-NJ",Somerset County,34,35620,79988,61050,73710.0,-6278.0,41824.0,0,12948.0,-7.848677301595239,52.287843176476464,-76.32394859228884,16.187428114217134
36059,"New York-Newark-Jersey City, NY-NJ",Nassau County,36,35620,308094,234100,295441.0,-12653.0,181188.0,0,40259.0,-4.106863489714178,58.80932442696061,-75.98330379689315,13.067115880218374
36103,"New York-Newark-Jersey City, NY-NJ",Suffolk County,36,35620,351829,267135,314488.0,-37341.0,201915.0,0,27879.0,-10.613394575205568,57.39009575674546,-75.92751023934923,7.924019907398196
34013,"New York-Newark-Jersey City, NY-NJ",Essex County,34,35620,193233,139540,205811.0,12578.0,131758.0,0,20360.0,6.509240140141694,68.18607587730874,-72.21333830142885,10.536502564261797
34019,"New York-Newark-Jersey City, NY-NJ",Hunterdon County,34,35620,29141,23476,24967.0,-4174.0,12749.0,0,6553.0,-14.323461789231667,43.74935657664459,-80.56003568854878,22.487217322672524
34027,"New York-Newark-Jersey City, NY-NJ",Morris County,34,35620,115800,89068,106446.0,-9354.0,61289.0,0,18425.0,-8.077720207253886,52.92659758203799,-76.91537132987911,15.91105354058722
34037,"New York-Newark-Jersey City, NY-NJ",Sussex County,34,35620,34331,26867,28630.0,-5701.0,16637.0,0,4529.0,-16.6059829308788,48.46057499053334,-78.25871661180857,13.192158690396436
34039,"New York-Newark-Jersey City, NY-NJ",Union County,34,35620,130856,95064,139069.0,8213.0,87215.0,0,16062.0,6.276364859081738,66.64959955982148,-72.64779605062053,12.274561349880784
34003,"New York-Newark-Jersey City, NY-NJ",Bergen County,34,35620,203792,153693,201694.0,-2098.0,119307.0,0,32288.0,-1.029481039491246,58.54351495642616,-75.41660124048049,15.843605244563083
34017,"New York-Newark-Jersey City, NY-NJ",Hudson County,34,35620,133551,88607,141223.0,7672.0,127288.0,0,-31009.0,5.744621904740511,95.31040576259257,-66.34693862269845,-23.218845235153612
34031,"New York-Newark-Jersey City, NY-NJ",Passaic County,34,35620,124184,89546,123669.0,-515.0,85593.0,0,3438.0,-0.4147072086581202,68.92433807897957,-72.10751787669909,2.7684725890613926
36005,"New York-Newark-Jersey City, NY-NJ",Bronx County,36,35620,367236,261504,332553.0,-34683.0,251923.0,0,-25102.0,-9.444335522661177,68.59975601520549,-71.20870502891873,-6.835386508947924
36047,"New York-Newark-Jersey City, NY-NJ",Kings County,36,35620,600913,415787,562076.0,-38837.0,490912.0,0,-113962.0,-6.46299880348736,81.69435508967187,-69.1925453435023,-18.96480854965694
36061,"New York-Newark-Jersey City, NY-NJ",New York County,36,35620,236564,156224,220513.0,-16051.0,213630.0,0,-73457.0,-6.785056052484739,90.30537190781352,-66.03878865761486,-31.05163930268342
36079,"New York-Newark-Jersey City, NY-NJ",Putnam County,36,35620,23020,18038,18840.0,-4180.0,,0,,-18.158123370981755,,-78.35794960903563,
36081,"New York-Newark-Jersey City, NY-NJ",Queens County,36,35620,465639,327673,439104.0,-26535.0,356622.0,0,-55484.0,-5.698620605232809,76.58765696172357,-70.37060899108538,-11.915668575871008
36085,"New York-Newark-Jersey City, NY-NJ",Richmond County,36,35620,108320,79873,105407.0,-2913.0,67756.0,0,9204.0,-2.6892540620384047,62.55169867060562,-73.73799852289513,8.497045790251107
36087,"New York-Newark-Jersey City, NY-NJ",Rockland County,36,35620,87981,64150,105541.0,17560.0,75018.0,0,6692.0,19.958854752730705,85.26613700685375,-72.91346995374,7.606187699616964
36119,"New York-Newark-Jersey City, NY-NJ",Westchester County,36,35620,226394,169476,208740.0,-17654.0,132062.0,0,19760.0,-7.7979098385999635,58.332818007544375,-74.85887435179379,8.728146505649443
34005,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,34,37980,102554,77207,96272.0,-6282.0,58505.0,0,12420.0,-6.12555336700665,57.047994227431396,-75.28424049768903,12.110692903250971
34007,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,34,37980,122786,89819,119827.0,-2959.0,79968.0,0,6892.0,-2.409883862981122,65.12794618278957,-73.15084781652631,5.613017770755624
34015,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,34,37980,69400,52305,65160.0,-4240.0,38178.0,0,9887.0,-6.109510086455332,55.01152737752162,-75.36743515850144,14.246397694524497
42017,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,42,37980,140606,107682,127178.0,-13428.0,74647.0,0,19607.0,-9.550090323314794,53.08948409029487,-76.58421404491985,13.944639631310185
