county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
24013,Carroll County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
24025,Harford County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
24027,Howard County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Central,True
24035,Queen Anne's County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
24510,Baltimore city,Maryland,12580,"Baltimore-Columbia-Towson, MD",Central,True
23019,Penobscot County,Maine,12620,"Bangor, ME",Central,True
25001,Barnstable County,Massachusetts,12700,"Barnstable Town, MA",Central,True
22005,Ascension Parish,Louisiana,12940,"Baton Rouge, LA",Central,True
22007,Assumption Parish,Louisiana,12940,"Baton Rouge, LA",Outlying,True
22033,East Baton Rouge Parish,Louisiana,12940,"Baton Rouge, LA",Central,True
22037,East Feliciana Parish,Louisiana,12940,"Baton Rouge, LA",Outlying,True
22047,Iberville Parish,Louisiana,12940,"Baton Rouge, LA",Central,True
22063,Livingston Parish,Louisiana,12940,"Baton Rouge, LA",Central,True
22077,Pointe Coupee Parish,Louisiana,12940,"Baton Rouge, LA",Outlying,True
22091,St. Helena Parish,Louisiana,12940,"Baton Rouge, LA",Outlying,True
22121,West Baton Rouge Parish,Louisiana,12940,"Baton Rouge, LA",Central,True
22125,West Feliciana Parish,Louisiana,12940,"Baton Rouge, LA",Outlying,True
26025,Calhoun County,Michigan,12980,"Battle Creek, MI",Central,True
26017,Bay County,Michigan,13020,"Bay City, MI",Central,True
48199,Hardin County,Texas,13140,"Beaumont-Port Arthur, TX",Outlying,True
48245,Jefferson County,Texas,13140,"Beaumont-Port Arthur, TX",Central,True
48361,Orange County,Texas,13140,"Beaumont-Port Arthur, TX",Outlying,True
54019,Fayette County,West Virginia,13220,"Beckley, WV",Central,True
54081,Raleigh County,West Virginia,13220,"Beckley, WV",Central,True
53073,Whatcom County,Washington,13380,"Bellingham, WA",Central,True
41013,Crook County,Oregon,13460,"Bend, OR",Outlying,True
41017,Deschutes County,Oregon,13460,"Bend, OR",Central,True
41031,Jefferson County,Oregon,13460,"Bend, OR",Outlying,True
30009,Carbon County,Montana,13740,"Billings, MT",Outlying,True
30095,Stillwater County,Montana,13740,"Billings, MT",Outlying,True
30111,Yellowstone County,Montana,13740,"Billings, MT",Central,True
36007,Broome County,New York,13780,"Binghamton, NY",Central,True
36107,Tioga County,New York,13780,"Binghamton, NY",Central,True
01007,Bibb County,Alabama,13820,"Birmingham, AL",Outlying,True
01009,Blount County,Alabama,13820,"Birmingham, AL",Outlying,True
01021,Chilton County,Alabama,13820,"Birmingham, AL",Outlying,True
01073,Jefferson County,Alabama,13820,"Birmingham, AL",Central,True
01115,St. Clair County,Alabama,13820,"Birmingham, AL",Central,True
01117,Shelby County,Alabama,13820,"Birmingham, AL",Central,True
01127,Walker County,Alabama,13820,"Birmingham, AL",Outlying,True
38015,Burleigh County,North Dakota,13900,"Bismarck, ND",Central,True
38059,Morton County,North Dakota,13900,"Bismarck, ND",Central,True
38065,Oliver County,North Dakota,13900,"Bismarck, ND",Outlying,True
51063,Floyd County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",Outlying,True
51071,Giles County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",Outlying,True
51121,Montgomery County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",Central,True
51155,Pulaski County,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",Outlying,True
