county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
05031,Craighead,Arkansas,False,False,False,False,False,True,True,True,2000
05033,Crawford,Arkansas,False,False,True,True,True,True,True,True,1970
05035,Crittenden,Arkansas,False,False,True,True,True,True,True,True,1970
05037,Cross,Arkansas,False,False,False,False,False,False,False,False,0
05039,Dallas,Arkansas,False,False,False,False,False,False,False,False,0
05041,Desha,Arkansas,False,False,False,False,False,False,False,False,0
05043,Drew,Arkansas,False,False,False,False,False,False,False,False,0
05045,Faulkner,Arkansas,False,False,False,True,True,True,True,True,1980
05047,Franklin,Arkansas,False,False,False,False,False,False,False,False,0
05049,Fulton,Arkansas,False,False,False,False,False,False,False,False,0
05051,Garland,Arkansas,False,False,False,False,False,False,True,True,2010
05053,Grant,Arkansas,False,False,False,False,False,False,True,True,2010
05055,Greene,Arkansas,False,False,False,False,False,False,False,False,0
05057,Hempstead,Arkansas,False,False,False,False,False,False,False,False,0
05059,Hot Spring,Arkansas,False,False,False,False,False,False,False,False,0
05061,Howard,Arkansas,False,False,False,False,False,False,False,False,0
05063,Independence,Arkansas,False,False,False,False,False,False,False,False,0
05065,Izard,Arkansas,False,False,False,False,False,False,False,False,0
05067,Jackson,Arkansas,False,False,False,False,False,False,False,False,0
05069,Jefferson,Arkansas,False,False,True,True,True,True,True,False,1970
05071,Johnson,Arkansas,False,False,False,False,False,False,False,False,0
05073,Lafayette,Arkansas,False,False,False,False,False,False,False,False,0
05075,Lawrence,Arkansas,False,False,False,False,False,False,False,False,0
05077,Lee,Arkansas,False,False,False,False,False,False,False,False,0
05079,Lincoln,Arkansas,False,False,False,False,False,False,True,False,2010
05081,Little River,Arkansas,False,False,True,False,False,False,True,True,1970
05083,Logan,Arkansas,False,False,False,False,False,False,False,False,0
05085,Lonoke,Arkansas,False,False,False,True,True,True,True,True,1980
05087,Madison,Arkansas,False,False,False,False,False,False,True,True,2010
05089,Marion,Arkansas,False,False,False,False,False,False,False,False,0
05091,Miller,Arkansas,False,True,True,True,True,True,True,True,1960
05093,Mississippi,Arkansas,False,False,False,False,False,False,False,False,0
05095,Monroe,Arkansas,False,False,False,False,False,False,False,False,0
05097,Montgomery,Arkansas,False,False,False,False,False,False,False,False,0
05099,Nevada,Arkansas,False,False,False,False,False,False,False,False,0
05101,Newton,Arkansas,False,False,False,False,False,False,False,False,0
