fips_5,year_2011,hh_weighted_2011,pct_burdened_2011,pct_severely_2011,year_2023,hh_weighted_2023,pct_burdened_2023,pct_severely_2023,pct_burdened_delta,msa_name_short,County/County Equivalent,pop_under18,pop_under18_2024,delta_under18,delta_under18_pct
12095,2011.0,403892.0,49.01533083101423,25.79823319105107,2023.0,541278.0,41.164429369011856,20.751074309319794,-7.850901462002376,,,,,,
12097,2011.0,90710.0,53.86837173409768,21.945761217065375,2023.0,152348.0,39.85414970987476,17.844015018247696,-14.014222024222917,,,,,,
12099,2011.0,505568.0,46.03178998670802,24.378916387113108,2023.0,592382.0,40.30389174552907,20.794689912927808,-5.7278982411789485,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,269287.0,296112.0,26825.0,9.961490900043449
12101,2011.0,175657.0,36.75401492681761,16.401282043983446,2023.0,233611.0,33.66793515716297,15.048948893673671,-3.0860797696546385,,,,,,
12103,2011.0,376972.0,42.172893477499656,19.877868913341043,2023.0,429181.0,39.449323245903244,19.02553934121035,-2.723570231596412,,,,,,
12105,2011.0,208911.0,36.23839816955546,18.68451158627358,2023.0,298571.0,33.97181909830493,15.163562435735553,-2.2665790712505327,,,,,,
12109,2011.0,74321.0,36.863066966267944,15.35097751644892,,,,,,,,,,,
12111,2011.0,101021.0,45.25593688441017,24.61369418239772,2023.0,140835.0,40.8343096531402,20.198814215216387,-4.421627231269966,,,,,,
12113,2011.0,56882.0,36.730424387328156,14.670721845223444,2023.0,71847.0,25.61832783553941,11.14173173549348,-11.112096551788746,,,,,,
12115,2011.0,167848.0,36.454411133883035,18.700848386635528,2023.0,213748.0,34.918221457042875,17.458408967569287,-1.5361896768401593,,,,,,
12117,2011.0,140633.0,42.47580582082441,20.00881727617273,2023.0,186790.0,39.29118261148884,15.981583596552278,-3.1846232093355695,,,,,,
12119,,,,,2023.0,70992.0,24.380211854856885,9.691232814965066,,,,,,,
12127,2011.0,180104.0,42.52376404743926,20.57866565984098,2023.0,236069.0,35.98397078820175,16.84761658667593,-6.539793259237506,,,,,,
13015,,,,,2023.0,40988.0,30.184444227578805,12.310920269347125,,"Atlanta-Sandy Springs-Roswell, GA",Bartow County,26323.0,26491.0,168.0,0.6382251263153895
13021,2011.0,54215.0,46.581204463709305,25.51323434473854,2023.0,58457.0,39.2185709153737,20.435533811177446,-7.362633548335609,,,,,,
13045,,,,,2023.0,43721.0,31.57979003224995,13.942956474005626,,"Atlanta-Sandy Springs-Roswell, GA",Carroll County,27843.0,30575.0,2732.0,9.812161045864311
13051,2011.0,95983.0,42.19080462165175,20.977673129616704,2023.0,118423.0,36.31473615767207,17.396958361129172,-5.876068463979678,,,,,,
13057,2011.0,76205.0,35.712879732301026,19.463289810379898,2023.0,101426.0,25.805020408968115,12.347918679628497,-9.90785932333291,"Atlanta-Sandy Springs-Roswell, GA",Cherokee County,59184.0,63700.0,4516.0,7.63044065963774
13059,,,,,2023.0,52944.0,40.45028709579934,22.86944696282865,,,,,,,
13063,2011.0,81441.0,47.20718065839073,23.549563487678196,2023.0,104466.0,44.71981314494668,23.856565772595868,-2.487367513444056,"Atlanta-Sandy Springs-Roswell, GA",Clayton County,75058.0,76197.0,1139.0,1.5174931386394521
13067,2011.0,254390.0,35.98333267817131,15.571366799009395,2023.0,295795.0,28.743893574942103,12.296015821768455,-7.239439103229206,"Atlanta-Sandy Springs-Roswell, GA",Cobb County,176159.0,172421.0,-3738.0,-2.1219466504691784
13073,,,,,2023.0,55801.0,23.68595544882708,10.177236967079443,,,,,,,
13077,,,,,2023.0,56637.0,29.023429913307552,11.164080018362554,,"Atlanta-Sandy Springs-Roswell, GA",Coweta County,34787.0,35682.0,895.0,2.572800183976773
13089,2011.0,254510.0,42.748811441593645,22.040784252092255,2023.0,284113.0,37.502683791308385,18.91500916888703,-5.24612765028526,"Atlanta-Sandy Springs-Roswell, GA",DeKalb County,165972.0,171001.0,5029.0,3.030029161545321
13097,,,,,2023.0,51674.0,28.722374888725472,12.317606533266245,,"Atlanta-Sandy Springs-Roswell, GA",Douglas County,37022.0,37527.0,505.0,1.3640538058451732
13113,,,,,2023.0,44368.0,31.736837360259646,11.877930039668229,,"Atlanta-Sandy Springs-Roswell, GA",Fayette County,27279.0,27209.0,-70.0,-0.25660764690787785
13117,,,,,2023.0,88923.0,23.761006713673627,11.742743722096645,,"Atlanta-Sandy Springs-Roswell, GA",Forsyth County,54732.0,69171.0,14439.0,26.381276035957026
13121,2011.0,353903.0,41.02564827085388,21.09928426715795,2023.0,448318.0,36.512921631520484,18.925182571299835,-4.512726639333394,"Atlanta-Sandy Springs-Roswell, GA",Fulton County,224080.0,222302.0,-1778.0,-0.7934666190646198
13135,2011.0,258330.0,41.191886346920604,20.784655285874656,2023.0,321601.0,36.90566882565663,18.045963787426032,-4.286217521263971,"Atlanta-Sandy Springs-Roswell, GA",Gwinnett County,236567.0,252809.0,16242.0,6.865708234876378
13139,2011.0,58603.0,37.998054707096905,15.768817296042863,2023.0,74416.0,27.92678993764782,13.06842614491507,-10.071264769449087,,,,,,
13151,2011.0,68422.0,36.675338341469114,15.546169360731929,2023.0,87826.0,33.6016669323435,18.961355407282582,-3.073671409125616,"Atlanta-Sandy Springs-Roswell, GA",Henry County,58981.0,63828.0,4847.0,8.21790067987996
13185,,,,,2023.0,46085.0,33.69860041228166,16.729955516979494,,,,,,,
13215,2011.0,68705.0,41.21825194672877,16.9623753729714,,,,,,,,,,,
13223,,,,,2023.0,59784.0,27.34678174762478,12.69570453633079,,"Atlanta-Sandy Springs-Roswell, GA",Paulding County,42447.0,46930.0,4483.0,10.561405988644662
13245,2011.0,66623.0,35.29561863020278,15.704786635246087,2023.0,73990.0,41.61102851736721,20.737937559129612,6.315409887164428,,,,,,
13313,,,,,2023.0,35577.0,22.91086938190404,10.132951063889593,,,,,,,
15001,2011.0,58781.0,42.85058097004134,20.111940933294772,2023.0,69543.0,35.999309779560846,18.06220611707864,-6.851271190480496,,,,,,
15003,2011.0,297530.0,46.18156152320774,20.722616206769064,2023.0,326938.0,41.319760933265634,21.330038111201514,-4.861800589942106,,,,,,
16001,2011.0,148695.0,34.58892363562998,14.061669861125123,,,,,,,,,,,
16019,,,,,2023.0,43549.0,29.36003122919011,11.113917655973731,,,,,,,
16027,2011.0,61222.0,40.44951161347228,17.57701479860181,,,,,,,,,,,
17019,2011.0,74741.0,40.51859086712781,23.796845105096263,,,,,,,,,,,
17031,2011.0,1857663.0,45.138111702714646,22.330315024845735,2023.0,2050182.0,35.822429423339,17.818857057568547,-9.315682279375643,"Chicago-Naperville-Elgin, IL-IN",Cook County,1221148.0,1053196.0,-167952.0,-13.753615450379478
17043,2011.0,328102.0,38.96349306008497,14.731394505367234,2023.0,346242.0,27.81522749984115,12.762460937725637,-11.148265560243821,"Chicago-Naperville-Elgin, IL-IN",DuPage County,225503.0,203122.0,-22381.0,-9.924923393480354
17089,,,,,2023.0,183226.0,28.156484341741894,12.508595941624007,,"Chicago-Naperville-Elgin, IL-IN",Kane County,147772.0,119191.0,-28581.0,-19.341282516308908
17091,2011.0,40256.0,35.959856915739266,18.00476947535771,,,,,,,,,,,
17093,,,,,2023.0,43934.0,28.45176856193381,8.025674875950289,,"Chicago-Naperville-Elgin, IL-IN",Kendall County,36182.0,37416.0,1234.0,3.410535625449118
17097,2011.0,235835.0,39.5352683019908,18.8657323976509,2023.0,254633.0,25.699732556267257,11.643424065223282,-13.83553574572354,"Chicago-Naperville-Elgin, IL-IN",Lake County,188421.0,162161.0,-26260.0,-13.936875401361846
17099,2011.0,42757.0,32.39469560539794,12.547653015880442,,,,,,,,,,,
17111,,,,,2023.0,117817.0,25.64909987523023,10.048634747107803,,"Chicago-Naperville-Elgin, IL-IN",McHenry County,81970.0,69840.0,-12130.0,-14.7980968647066
17113,2011.0,60159.0,24.29062983094799,9.637793181402616,2023.0,68934.0,27.250703571532192,14.146865117358635,2.9600737405842033,,,,,,
17115,2011.0,42267.0,24.070788085267466,9.738093548158137,,,,,,,,,,,
17119,,,,,2023.0,107317.0,26.395631633385204,12.175144664871363,,,,,,,
17143,,,,,2023.0,72239.0,31.040019933830752,15.50270629438392,,,,,,,
17161,,,,,2023.0,60006.0,24.04592874045929,11.100556611005565,,,,,,,
17167,,,,,2023.0,84096.0,23.410150304414003,10.621194824961949,,,,,,,
17179,2011.0,53533.0,21.32703192423365,9.782750826592942,2023.0,52650.0,22.42355175688509,10.01139601139601,1.0965198326514383,,,,,,
17197,,,,,2023.0,241602.0,26.35946722295345,12.274732825059395,,"Chicago-Naperville-Elgin, IL-IN",Will County,192683.0,161584.0,-31099.0,-16.139981212665365
18003,2011.0,132721.0,23.934418818423612,10.617762072317117,2023.0,155871.0,26.664998620654256,11.978495037563112,2.7305798022306433,,,,,,
18019,,,,,2023.0,50589.0,20.32457648896005,10.027871671707288,,,,,,,
18035,2011.0,43118.0,32.71719467507769,14.279419268055104,2023.0,44112.0,30.83741385564019,16.353826623141096,-1.879780819437503,,,,,,
18039,2011.0,69090.0,30.169344333478072,13.713996236792589,2023.0,71796.0,26.658866789236168,12.294556799821716,-3.5104775442419047,,,,,,
18063,,,,,2023.0,68384.0,22.038781001403837,9.541705662143192,,,,,,,
18081,2011.0,50537.0,28.80265943763975,11.195757563765161,2023.0,62486.0,25.861793041641327,9.283679544217904,-2.940866395998423,,,,,,
18089,2011.0,175763.0,32.5478058521987,15.817322189539324,2023.0,190975.0,28.820002618143736,15.483178426495614,-3.7278032340549636,"Chicago-Naperville-Elgin, IL-IN",Lake County,125261.0,114054.0,-11207.0,-8.946918833475703
18091,2011.0,39943.0,28.953759106727084,13.96239641489122,2023.0,44310.0,29.354547506206274,13.279169487700294,0.40078839947918965,,,,,,
18095,,,,,2023.0,53088.0,24.24653405666064,12.454792043399639,,,,,,,
18097,2011.0,347135.0,37.732294352341306,17.84118570584931,2023.0,399309.0,33.028807264549506,15.846374612142474,-4.7034870877918,,,,,,
