csa_code,csa_short,CSA Title,County/County Equivalent,State Name,state_fips,county_fips,fips_5,is_inner,pop_under18,pop_under18_2024,delta_under18,delta_pct
288,Houston,"Houston-Pasadena, TX",Waller County,Texas,48,473,48473,False,10764.0,15486.0,4722.0,43.86845039018952
288,Houston,"Houston-Pasadena, TX",Walker County,Texas,48,471,48471,False,11147.0,12217.0,1070.0,9.598995245357496
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Jackson County,Georgia,13,157,13157,False,15924.0,23253.0,7329.0,46.02486812358704
176,Chicago,"Chicago-Naperville, IL-IN-WI",Kankakee County,Illinois,17,91,17091,False,28314.0,23688.0,-4626.0,-16.338207247298158
176,Chicago,"Chicago-Naperville, IL-IN-WI",Kenosha County,Wisconsin,55,59,55059,False,42209.0,35378.0,-6831.0,-16.183752280319364
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Monroe County,Florida,12,87,12087,False,11278.0,12646.0,1368.0,12.129810250044335
408,New York,"New York-Newark, NY-NJ-CT-PA",Ulster County,New York,36,111,36111,False,35769.0,30203.0,-5566.0,-15.56096060834801
408,New York,"New York-Newark, NY-NJ-CT-PA",Dutchess County,New York,36,27,36027,False,64198.0,53757.0,-10441.0,-16.263746534159942
408,New York,"New York-Newark, NY-NJ-CT-PA",Orange County,New York,36,71,36071,False,100273.0,104759.0,4486.0,4.473786562683872
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Chambers County,Alabama,01,17,01017,False,7495.0,7093.0,-402.0,-5.363575717144763
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Troup County,Georgia,13,285,13285,False,17701.0,17389.0,-312.0,-1.7626122817919891
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Orange County,Virginia,51,137,51137,False,7716.0,8573.0,857.0,11.106791083462934
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Calvert County,Maryland,24,9,24009,False,22799.0,21542.0,-1257.0,-5.513399710513619
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",St. Mary's County,Maryland,24,37,24037,False,27788.0,27602.0,-186.0,-0.6693536778465524
348,Los Angeles,"Los Angeles-Long Beach, CA",Orange County,California,06,59,06059,False,732740.0,642905.0,-89835.0,-12.26014684608456
348,Los Angeles,"Los Angeles-Long Beach, CA",Los Angeles County,California,06,37,06037,True,2368374.0,1944946.0,-423428.0,-17.878426295846854
370,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL",Broward County,Florida,12,11,12011,False,395110.0,415514.0,20404.0,5.164131507681406
