year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
2000,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio city,326657
2000,2080,"Denver, CO SMA",Denver,08,Denver city,121766
2000,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown city,21163
2000,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis city (balance),200617
2000,7320,"San Diego, CA SMA",San Diego,06,San Diego city,293908
2000,9240,"Worcester, MA SMA",Worcester,25,Worcester city,40727
2000,3280,"Hartford, CT SMA",Hartford,09,Hartford city,36568
2000,5480,"New Haven, CT SMA",New Haven,09,New Haven city,31446
2000,4920,"Memphis, TN SMA",Memphis,47,Memphis city,181295
2000,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence city,23019
2000,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford city,25896
2000,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk city,18310
2000,2000,"Dayton, OH SMA",Dayton,39,Dayton city,41732
2000,1840,"Columbus, OH SMA",Columbus,39,Columbus city,171868
2000,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany city,19085
2000,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady city,15040
2000,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy city,10865
2000,6840,"Rochester, NY SMA",Rochester,36,Rochester city,61735
2000,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk city,56352
2000,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth city,25854
2000,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River city,22179
2000,80,"Akron, OH SMA",Akron,39,Akron city,54966
2010,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York city,1768111
2010,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark city,70887
2010,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago city,621630
2010,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles city,874525
2010,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia city,343837
2010,2160,"Detroit, MI SMA",Detroit,26,Detroit city,190347
2010,1120,"Boston, MA SMA",Boston,25,Boston city,103710
2010,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh city,49799
2010,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco city,107524
2010,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland city,83120
2010,6480,"Providence, RI SMA",Providence,44,Providence city,41634
2010,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis city,67539
2010,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland city,97657
2010,720,"Baltimore, MD SMA",Baltimore,24,Baltimore city,133560
2010,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis city,77204
2010,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul city,71608
2010,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo city,61576
2010,4560,"Lowell, MA SMA",Lowell,25,Lowell city,25260
2010,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport city,36047
2010,1200,"Brockton, MA SMA",Brockton,25,Brockton city,24127
2010,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield city,41328
2010,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke city,10511
2010,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati city,65706
