SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,019,New York,Clinton County,3,79018,40390,38628,3637,1890,1747,7441,3850,3591,3356,1707,1649,9711,4758,4953,66252,33796,32456,64584,32943,31641,31419,16523,14896,19206,10493,8713,21044,10806,10238,14623,6886,7737,3637,1890,1747,4064,2124,1940,4231,2161,2070,5265,2617,2648,6948,3413,3535,4745,2593,2152,4759,2654,2105,4929,2662,2267,4773,2584,2189,4469,2381,2088,4878,2572,2306,5853,2926,2927,5844,2927,2917,4824,2428,2396,4068,1972,2096,2501,1185,1316,1665,730,935,1565,571,994,41.0,40.2,41.9
050,36,019,New York,Clinton County,4,77978,39584,38394,3468,1811,1657,7363,3795,3568,3413,1752,1661,9543,4659,4884,65397,33067,32330,63734,32226,31508,30797,16002,14795,18730,10056,8674,20462,10422,10040,14999,7089,7910,3468,1811,1657,4009,2077,1932,4243,2183,2060,5259,2610,2649,6808,3336,3472,4461,2403,2058,4660,2519,2141,4845,2607,2238,4764,2527,2237,4341,2280,2061,4792,2494,2298,5522,2722,2800,5807,2926,2881,4964,2503,2461,4038,1942,2096,2721,1294,1427,1708,765,943,1568,585,983,41.3,40.5,42.2
050,36,019,New York,Clinton County,5,77883,39710,38173,3336,1740,1596,7293,3740,3553,3426,1779,1647,9412,4636,4776,65524,33321,32203,63828,32451,31377,30864,16157,14707,18862,10177,8685,20109,10323,9786,15445,7315,8130,3336,1740,1596,3962,2027,1935,4167,2148,2019,5272,2638,2634,6730,3342,3388,4389,2361,2028,4764,2558,2206,4818,2638,2180,4891,2620,2271,4401,2361,2040,4738,2454,2284,5196,2585,2611,5774,2923,2851,5167,2607,2560,4042,1953,2089,2853,1356,1497,1789,782,1007,1594,617,977,41.5,40.7,42.4
050,36,019,New York,Clinton County,6,77871,39693,38178,3211,1659,1552,7214,3710,3504,3426,1786,1640,9429,4639,4790,65763,33456,32307,64020,32538,31482,30880,16167,14713,18868,10169,8699,19764,10181,9583,15959,7549,8410,3211,1659,1552,3901,1979,1922,4156,2158,1998,5259,2646,2613,6753,3352,3401,4387,2346,2041,4786,2558,2228,4816,2665,2151,4879,2600,2279,4473,2412,2061,4657,2432,2225,4902,2453,2449,5732,2884,2848,5268,2623,2645,4114,2002,2112,3077,1466,1611,1861,819,1042,1639,639,1000,41.7,40.9,42.6
050,36,021,New York,Columbia County,1,61571,30946,30625,2493,1291,1202,5132,2669,2463,2723,1446,1277,4106,2177,1929,52588,26254,26334,51223,25540,25683,19628,10011,9617,13453,6745,6708,18642,9475,9167,15022,7143,7879,2493,1291,1202,2767,1414,1353,3019,1612,1407,3189,1695,1494,2986,1571,1415,3415,1746,1669,3338,1693,1645,3398,1662,1736,3302,1644,1658,3709,1875,1834,4468,2279,2189,5262,2687,2575,5203,2634,2569,4840,2383,2457,4104,2005,2099,2792,1372,1420,1612,710,902,1674,673,1001,49.0,48.2,49.8
050,36,021,New York,Columbia County,2,61419,30907,30512,2486,1285,1201,5099,2648,2451,2721,1453,1268,4093,2166,1927,52483,26242,26241,51113,25521,25592,19644,10030,9614,13485,6769,6716,18545,9430,9115,14990,7156,7834,2486,1285,1201,2750,1407,1343,3004,1599,1405,3175,1687,1488,2984,1574,1410,3399,1740,1659,3353,1707,1646,3421,1671,1750,3312,1651,1661,3672,1861,1811,4426,2262,2164,5247,2680,2567,5200,2627,2573,4863,2396,2467,4114,2008,2106,2793,1378,1415,1598,712,886,1622,662,960,49.0,48.2,49.7
050,36,021,New York,Columbia County,3,61977,31214,30763,2414,1257,1157,4984,2553,2431,2682,1453,1229,4064,2130,1934,53267,26691,26576,51897,25951,25946,20056,10272,9784,13958,7039,6919,18324,9353,8971,15551,7429,8122,2414,1257,1157,2709,1383,1326,2923,1520,1403,3098,1655,1443,3000,1578,1422,3371,1750,1621,3528,1770,1758,3601,1783,1818,3458,1736,1722,3538,1805,1733,4336,2232,2104,5165,2651,2514,5285,2665,2620,4976,2453,2523,4308,2104,2204,2892,1411,1481,1711,808,903,1664,653,1011,49.1,48.4,49.9
050,36,021,New York,Columbia County,4,61187,30855,30332,2323,1196,1127,4768,2463,2305,2614,1436,1178,3911,2054,1857,52827,26506,26321,51482,25760,25722,19590,10082,9508,13664,6915,6749,17835,9102,8733,16072,7689,8383,2323,1196,1127,2559,1312,1247,2808,1474,1334,3031,1652,1379,2895,1515,1380,3112,1660,1452,3476,1721,1755,3540,1761,1779,3536,1773,1763,3433,1721,1712,4205,2180,2025,4953,2532,2421,5244,2669,2575,4982,2454,2528,4298,2110,2188,3213,1574,1639,1863,871,992,1716,680,1036,49.8,49.0,50.7
050,36,021,New York,Columbia County,5,60616,30670,29946,2229,1174,1055,4646,2375,2271,2492,1392,1100,3812,2038,1774,52569,26474,26095,51249,25729,25520,19310,10048,9262,13560,6922,6638,17370,8867,8503,16507,7902,8605,2229,1174,1055,2485,1267,1218,2715,1412,1303,2953,1641,1312,2797,1485,1312,3003,1644,1359,3444,1709,1735,3541,1776,1765,3572,1793,1779,3375,1666,1709,4027,2077,1950,4754,2441,2313,5214,2683,2531,5007,2466,2541,4407,2155,2252,3293,1614,1679,2033,975,1058,1767,692,1075,50.3,49.3,51.2
050,36,021,New York,Columbia County,6,60299,30549,29750,2170,1154,1016,4540,2299,2241,2419,1344,1075,3781,2051,1730,52447,26470,25977,51170,25752,25418,19237,10088,9149,13601,6999,6602,16897,8593,8304,16891,8109,8782,2170,1154,1016,2415,1231,1184,2689,1374,1315,2850,1587,1263,2786,1502,1284,3018,1694,1324,3395,1677,1718,3566,1822,1744,3622,1806,1816,3354,1667,1687,3813,1930,1883,4570,2344,2226,5160,2652,2508,4984,2472,2512,4468,2188,2280,3433,1664,1769,2148,1051,1097,1858,734,1124,50.4,49.3,51.5
