county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
34033,Salem County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Central,True
04013,Maricopa County,Arizona,38060,"Phoenix-Mesa-Chandler, AZ",Central,True
04021,Pinal County,Arizona,38060,"Phoenix-Mesa-Chandler, AZ",Central,True
51013,Arlington County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51043,Clarke County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51047,Culpeper County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51059,Fairfax County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51061,Fauquier County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51107,Loudoun County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51153,Prince William County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51157,Rappahannock County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51177,Spotsylvania County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51179,Stafford County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51187,Warren County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51510,Alexandria city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51600,Fairfax city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51610,Falls Church city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51630,Fredericksburg city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
51683,Manassas city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
51685,Manassas Park city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
54037,Jefferson County,West Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
24021,Frederick County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
24031,Montgomery County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
11001,District of Columbia,District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
24017,Charles County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,True
24033,Prince George's County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,True
