state,year,bin,share
Iowa,2019,3+ kids,3.310888252148997
Iowa,2021,0 kids,80.78990356747641
Iowa,2021,1 kid,7.963587500658692
Iowa,2021,2 kids,6.903093218106128
Iowa,2021,3+ kids,4.343415713758761
Iowa,2022,0 kids,81.11173900458975
Iowa,2022,1 kid,8.498614805728225
Iowa,2022,2 kids,7.11755544222844
Iowa,2022,3+ kids,3.2720907474535856
Iowa,2023,0 kids,84.6260938743039
Iowa,2023,1 kid,6.520816759480244
Iowa,2023,2 kids,5.994431185361973
Iowa,2023,3+ kids,2.858658180853885
Iowa,2024,0 kids,81.34097573980273
Iowa,2024,1 kid,7.7406025059984005
Iowa,2024,2 kids,7.284724073580379
Iowa,2024,3+ kids,3.6336976806185013
Kansas,2005,0 kids,73.84117901620426
Kansas,2005,1 kid,12.793912583545703
Kansas,2005,2 kids,8.281242486897149
Kansas,2005,3+ kids,5.083665913352887
Kansas,2006,0 kids,77.16907734960992
Kansas,2006,1 kid,13.08753680500333
Kansas,2006,2 kids,7.423327387220873
Kansas,2006,3+ kids,2.320058458165875
Kansas,2007,0 kids,74.83129088349756
Kansas,2007,1 kid,13.53813033038006
Kansas,2007,2 kids,7.479092489856752
Kansas,2007,3+ kids,4.151486296265629
Kansas,2008,0 kids,74.7039682292154
Kansas,2008,1 kid,11.65309962677645
Kansas,2008,2 kids,7.554917922007714
Kansas,2008,3+ kids,6.088014222000437
Kansas,2009,0 kids,77.76013325930039
Kansas,2009,1 kid,10.909494725152694
Kansas,2009,2 kids,6.163242642976124
Kansas,2009,3+ kids,5.167129372570794
Kansas,2010,0 kids,77.21824647670897
Kansas,2010,1 kid,10.228519998243844
Kansas,2010,2 kids,5.603240110637924
Kansas,2010,3+ kids,6.949993414409272
Kansas,2011,0 kids,76.30682750697521
Kansas,2011,1 kid,11.758370260955195
Kansas,2011,2 kids,7.336287543082226
Kansas,2011,3+ kids,4.598514688987362
Kansas,2012,0 kids,77.68169697235726
Kansas,2012,1 kid,9.4637154740088
Kansas,2012,2 kids,7.932884874954733
Kansas,2012,3+ kids,4.921702678679206
Kansas,2013,0 kids,77.92875097162354
Kansas,2013,1 kid,11.063889926408981
Kansas,2013,2 kids,6.158831427100473
Kansas,2013,3+ kids,4.848527674867001
Kansas,2014,0 kids,78.72459887274063
Kansas,2014,1 kid,8.16183298421405
Kansas,2014,2 kids,8.425292072472844
Kansas,2014,3+ kids,4.688276070572483
Kansas,2015,0 kids,75.01566398821629
Kansas,2015,1 kid,12.369604168269706
Kansas,2015,2 kids,7.298868895166698
Kansas,2015,3+ kids,5.315862948347312
Kansas,2016,0 kids,75.56965024121295
Kansas,2016,1 kid,9.093943831840111
Kansas,2016,2 kids,7.624052377670572
Kansas,2016,3+ kids,7.7123535492763615
Kansas,2017,0 kids,74.58949764265974
Kansas,2017,1 kid,11.869901594193196
Kansas,2017,2 kids,9.552726959748295
Kansas,2017,3+ kids,3.9878738033987773
Kansas,2018,0 kids,75.64921681780709
Kansas,2018,1 kid,12.187757625721352
Kansas,2018,2 kids,7.1939406430338
Kansas,2018,3+ kids,4.969084913437757
Kansas,2019,0 kids,77.05070536603517
Kansas,2019,1 kid,9.883880005691084
Kansas,2019,2 kids,5.94499348808703
Kansas,2019,3+ kids,7.1204211401867115
Kansas,2021,0 kids,76.26558098691937
Kansas,2021,1 kid,10.305974659869763
Kansas,2021,2 kids,8.093560048809973
Kansas,2021,3+ kids,5.33488430440088
Kansas,2022,0 kids,81.05290746851881
Kansas,2022,1 kid,9.201920442225903
Kansas,2022,2 kids,5.985298847972933
Kansas,2022,3+ kids,3.7598732412823597
Kansas,2023,0 kids,77.33178098885793
Kansas,2023,1 kid,12.903682103064067
Kansas,2023,2 kids,4.838744777158775
Kansas,2023,3+ kids,4.92579213091922
Kansas,2024,0 kids,77.47583255855633
Kansas,2024,1 kid,10.020946982850358
Kansas,2024,2 kids,7.236230439214545
Kansas,2024,3+ kids,5.26699001937876
Michigan,2005,0 kids,79.16808617640856
Michigan,2005,1 kid,10.914272426902007
Michigan,2005,2 kids,5.654786046084046
Michigan,2005,3+ kids,4.2628553506053875
Michigan,2006,0 kids,77.85039274924472
Michigan,2006,1 kid,11.995166163141995
Michigan,2006,2 kids,6.499093655589124
Michigan,2006,3+ kids,3.655347432024169
Michigan,2007,0 kids,76.59875725294543
Michigan,2007,1 kid,10.717856237413478
Michigan,2007,2 kids,8.85230061276327
Michigan,2007,3+ kids,3.8310858968778256
Michigan,2008,0 kids,77.67257604128058
Michigan,2008,1 kid,10.199327072573153
Michigan,2008,2 kids,8.33987167206581
Michigan,2008,3+ kids,3.7882252140804527
Michigan,2009,0 kids,79.05534328098659
Michigan,2009,1 kid,10.285145664365729
Michigan,2009,2 kids,6.261804586096793
Michigan,2009,3+ kids,4.397706468550892
Michigan,2010,0 kids,81.21171756433633
Michigan,2010,1 kid,10.21356276408739
Michigan,2010,2 kids,4.722728711963227
Michigan,2010,3+ kids,3.8519909596130537
Michigan,2011,0 kids,77.15503096660608
Michigan,2011,1 kid,11.635526432303196
Michigan,2011,2 kids,8.410207260093447
Michigan,2011,3+ kids,2.7992353409972863
Michigan,2012,0 kids,80.73617276002666
Michigan,2012,1 kid,9.635866680220015
Michigan,2012,2 kids,7.0330588780085606
Michigan,2012,3+ kids,2.594901681744768
Michigan,2013,0 kids,82.8030626476532
Michigan,2013,1 kid,7.710130077135456
Michigan,2013,2 kids,6.1070788147895145
Michigan,2013,3+ kids,3.3797284604218256
Michigan,2014,0 kids,80.82421319825026
Michigan,2014,1 kid,9.901729277154407
Michigan,2014,2 kids,6.0184596326875965
Michigan,2014,3+ kids,3.2555978919077346
Michigan,2015,0 kids,78.17469550302198
Michigan,2015,1 kid,11.636627293534547
Michigan,2015,2 kids,6.32098391346929
Michigan,2015,3+ kids,3.8676932899741905
Michigan,2016,0 kids,82.10140785153082
Michigan,2016,1 kid,8.221108467050426
Michigan,2016,2 kids,7.390223474827508
Michigan,2016,3+ kids,2.2872602065912444
Michigan,2017,0 kids,82.28919581983544
Michigan,2017,1 kid,9.13021673421256
Michigan,2017,2 kids,6.253303875191456
Michigan,2017,3+ kids,2.3272835707605353
Michigan,2018,0 kids,82.41579126372463
Michigan,2018,1 kid,9.451784923604114
Michigan,2018,2 kids,5.293487258796276
Michigan,2018,3+ kids,2.8389365538749813
Michigan,2019,0 kids,83.06161268453857
Michigan,2019,1 kid,8.813753430788571
Michigan,2019,2 kids,4.80343309221828
Michigan,2019,3+ kids,3.3212007924545683
Michigan,2021,0 kids,79.8652330292859
Michigan,2021,1 kid,9.976042832129153
Michigan,2021,2 kids,7.292081492297675
Michigan,2021,3+ kids,2.866642646287271
Michigan,2022,0 kids,81.71421558887812
Michigan,2022,1 kid,9.450567431423195
Michigan,2022,2 kids,5.160061242855974
Michigan,2022,3+ kids,3.6751557368427203
Michigan,2023,0 kids,83.95325491003629
Michigan,2023,1 kid,8.341913562768669
Michigan,2023,2 kids,4.955726016113671
Michigan,2023,3+ kids,2.7491055110813662
Michigan,2024,0 kids,83.53092624568328
Michigan,2024,1 kid,9.138351011346819
Michigan,2024,2 kids,4.850918845584608
Michigan,2024,3+ kids,2.4798038973852985
Minnesota,2005,0 kids,78.79855715871254
Minnesota,2005,1 kid,9.356270810210878
Minnesota,2005,2 kids,6.919163891971883
Minnesota,2005,3+ kids,4.926008139104699
Minnesota,2006,0 kids,80.82216798658499
Minnesota,2006,1 kid,9.448622802211485
Minnesota,2006,2 kids,5.180886918696352
Minnesota,2006,3+ kids,4.548322292507181
Minnesota,2007,0 kids,82.04212276079153
Minnesota,2007,1 kid,8.979822808537728
Minnesota,2007,2 kids,5.493465843781499
Minnesota,2007,3+ kids,3.4845885868892466
