state,year,bin,share
Iowa,2006,$100–200K,21.159809054067697
Iowa,2006,$200K+,10.951989500858103
Iowa,2007,<$50K,33.45880942070023
Iowa,2007,$50–100K,28.70681901462407
Iowa,2007,$100–200K,31.791532029714514
Iowa,2007,$200K+,6.042839534961191
Iowa,2008,<$50K,32.65067480876358
Iowa,2008,$50–100K,32.06113069040001
Iowa,2008,$100–200K,25.446218309973528
Iowa,2008,$200K+,9.841976190862878
Iowa,2009,<$50K,42.234649244227896
Iowa,2009,$50–100K,26.417880146909546
Iowa,2009,$100–200K,24.56859162467933
Iowa,2009,$200K+,6.7788789841832315
Iowa,2010,<$50K,33.43257249972433
Iowa,2010,$50–100K,31.46039097081108
Iowa,2010,$100–200K,26.34721106437944
Iowa,2010,$200K+,8.759825465085141
Iowa,2011,<$50K,38.58091720431812
Iowa,2011,$50–100K,28.77954440974589
Iowa,2011,$100–200K,20.526924845045418
Iowa,2011,$200K+,12.112613540890573
Iowa,2012,<$50K,35.87312734082397
Iowa,2012,$50–100K,32.92703317281969
Iowa,2012,$100–200K,24.235888175494917
Iowa,2012,$200K+,6.963951310861423
Iowa,2013,<$50K,35.9149217412203
Iowa,2013,$50–100K,30.98807342205666
Iowa,2013,$100–200K,23.192237209721515
Iowa,2013,$200K+,9.904767627001531
Iowa,2014,<$50K,31.935045540771434
Iowa,2014,$50–100K,34.11319942418168
Iowa,2014,$100–200K,22.003524869162778
Iowa,2014,$200K+,11.948230165884109
Iowa,2015,<$50K,28.711073047561392
Iowa,2015,$50–100K,36.90917413581796
Iowa,2015,$100–200K,24.659273806535445
Iowa,2015,$200K+,9.720479010085201
Iowa,2016,<$50K,24.222034074536193
Iowa,2016,$50–100K,36.14515098851804
Iowa,2016,$100–200K,26.552589753873118
Iowa,2016,$200K+,13.080225183072649
Iowa,2017,<$50K,30.496861280925614
Iowa,2017,$50–100K,29.62704632174948
Iowa,2017,$100–200K,27.029910146473558
Iowa,2017,$200K+,12.846182250851351
Iowa,2018,<$50K,29.23067735626521
Iowa,2018,$50–100K,26.628446872993834
Iowa,2018,$100–200K,34.34556068138726
Iowa,2018,$200K+,9.795315089353696
Iowa,2019,<$50K,32.59486909790129
Iowa,2019,$50–100K,32.280967015629365
Iowa,2019,$100–200K,25.68573635512022
Iowa,2019,$200K+,9.43842753134912
Iowa,2021,<$50K,33.08863235015105
Iowa,2021,$50–100K,29.018228520556345
Iowa,2021,$100–200K,27.434726134356897
Iowa,2021,$200K+,10.458412994935712
Iowa,2022,<$50K,28.16258874611277
Iowa,2022,$50–100K,31.958868743765766
Iowa,2022,$100–200K,28.551311388839995
Iowa,2022,$200K+,11.327231121281464
Iowa,2023,<$50K,29.744323156850154
Iowa,2023,$50–100K,27.968303076294436
Iowa,2023,$100–200K,31.657521452337868
Iowa,2023,$200K+,10.629852314517542
Iowa,2024,<$50K,29.84471639072118
Iowa,2024,$50–100K,29.207128061231984
Iowa,2024,$100–200K,28.62536543801143
Iowa,2024,$200K+,12.322790110035406
Kansas,2005,<$50K,32.87026280067993
Kansas,2005,$50–100K,30.178665329632032
Kansas,2005,$100–200K,26.12353710882565
Kansas,2005,$200K+,10.827534760862386
Kansas,2006,<$50K,32.323132201709825
Kansas,2006,$50–100K,29.971502911659027
Kansas,2006,$100–200K,28.65568083261058
Kansas,2006,$200K+,9.049684054020569
Kansas,2007,<$50K,30.285595452654928
Kansas,2007,$50–100K,34.65848699108092
Kansas,2007,$100–200K,25.080872498729146
Kansas,2007,$200K+,9.975045057535006
Kansas,2008,<$50K,32.98554180950962
Kansas,2008,$50–100K,27.961291949963886
Kansas,2008,$100–200K,29.78662416730683
Kansas,2008,$200K+,9.26654207321967
Kansas,2009,<$50K,31.650404612954958
Kansas,2009,$50–100K,30.959930462887016
Kansas,2009,$100–200K,25.045603124273104
Kansas,2009,$200K+,12.344061799884921
Kansas,2010,<$50K,39.27758498451435
Kansas,2010,$50–100K,28.682662288393846
Kansas,2010,$100–200K,22.336654352774357
Kansas,2010,$200K+,9.703098374317449
Kansas,2011,<$50K,33.49268904364182
Kansas,2011,$50–100K,35.47997044268792
Kansas,2011,$100–200K,23.84737678855326
Kansas,2011,$200K+,7.179963725116997
Kansas,2012,<$50K,28.93944705697465
Kansas,2012,$50–100K,34.1436878180873
Kansas,2012,$100–200K,27.79221721207432
Kansas,2012,$200K+,9.124647912863724
Kansas,2013,<$50K,33.72702394274128
Kansas,2013,$50–100K,31.891155256655995
Kansas,2013,$100–200K,23.238086796591954
Kansas,2013,$200K+,11.143734004010769
Kansas,2014,<$50K,30.966331845238095
Kansas,2014,$50–100K,34.891183035714285
Kansas,2014,$100–200K,25.961449032738095
Kansas,2014,$200K+,8.181036086309524
Kansas,2015,<$50K,21.530193236714975
Kansas,2015,$50–100K,32.963768115942024
Kansas,2015,$100–200K,33.90700483091788
Kansas,2015,$200K+,11.599033816425122
Kansas,2016,<$50K,24.979094076655052
Kansas,2016,$50–100K,31.068524970963995
Kansas,2016,$100–200K,31.180023228803716
Kansas,2016,$200K+,12.772357723577235
Kansas,2017,<$50K,22.897006269927886
Kansas,2017,$50–100K,24.972716184117612
Kansas,2017,$100–200K,35.06023838565406
Kansas,2017,$200K+,17.070039160300443
Kansas,2018,<$50K,27.063341855651846
Kansas,2018,$50–100K,32.429082135228164
Kansas,2018,$100–200K,31.030093745503645
Kansas,2018,$200K+,9.477482263616341
Kansas,2019,<$50K,27.723982667215374
Kansas,2019,$50–100K,29.78164564622721
Kansas,2019,$100–200K,32.11890871238713
Kansas,2019,$200K+,10.375462974170278
Kansas,2021,<$50K,24.15009739424455
Kansas,2021,$50–100K,33.26472858245433
Kansas,2021,$100–200K,27.917233268403834
Kansas,2021,$200K+,14.667940754897277
Kansas,2022,<$50K,26.417739093287768
Kansas,2022,$50–100K,29.64436375287019
Kansas,2022,$100–200K,29.894003310727825
Kansas,2022,$200K+,14.043893843114219
Kansas,2023,<$50K,19.436845964916365
Kansas,2023,$50–100K,33.77410981387282
Kansas,2023,$100–200K,30.585852471801555
Kansas,2023,$200K+,16.20319174940926
