state,year,bin,share
Kansas,2010,Master's+,10.918332895674682
Kansas,2011,<HS,5.085523418000293
Kansas,2011,HS/GED,24.064014094846573
Kansas,2011,Some college,31.28578769637351
Kansas,2011,Bachelor's,23.109675524886214
Kansas,2011,Master's+,16.45499926589341
Kansas,2012,<HS,8.034379671150973
Kansas,2012,HS/GED,22.763185991885543
Kansas,2012,Some college,30.057299451918283
Kansas,2012,Bachelor's,24.32557477400527
Kansas,2012,Master's+,14.81956011103993
Kansas,2013,<HS,9.839566529589296
Kansas,2013,HS/GED,26.712437565082336
Kansas,2013,Some college,31.045376727439596
Kansas,2013,Bachelor's,16.22160645263771
Kansas,2013,Master's+,16.181012725251062
Kansas,2014,<HS,7.272310600996887
Kansas,2014,HS/GED,23.060176078528734
Kansas,2014,Some college,31.59100891851116
Kansas,2014,Bachelor's,19.888088917747265
Kansas,2014,Master's+,18.188415484215952
Kansas,2015,<HS,7.100714017286734
Kansas,2015,HS/GED,20.214205186020294
Kansas,2015,Some college,31.324689966178127
Kansas,2015,Bachelor's,25.219842164599775
Kansas,2015,Master's+,16.14054866591507
Kansas,2016,<HS,6.371346328458552
Kansas,2016,HS/GED,18.06502714293994
Kansas,2016,Some college,31.468423391225393
Kansas,2016,Bachelor's,26.934296698413924
Kansas,2016,Master's+,17.160906438962193
Kansas,2017,<HS,5.409167581022878
Kansas,2017,HS/GED,20.58038419337406
Kansas,2017,Some college,29.533432684276896
Kansas,2017,Bachelor's,26.053420238114732
Kansas,2017,Master's+,18.42359530321144
Kansas,2018,<HS,6.598204617695344
Kansas,2018,HS/GED,16.888469733487025
Kansas,2018,Some college,28.3593558978658
Kansas,2018,Bachelor's,27.769045373572254
Kansas,2018,Master's+,20.38492437737958
Kansas,2019,<HS,6.5998045979303335
Kansas,2019,HS/GED,24.168045779913463
Kansas,2019,Some college,29.232548401890217
Kansas,2019,Bachelor's,24.170039678583535
Kansas,2019,Master's+,15.829561541682452
Kansas,2021,<HS,5.506259389083625
Kansas,2021,HS/GED,20.644967451176765
Kansas,2021,Some college,31.669504256384577
Kansas,2021,Bachelor's,25.902854281422133
Kansas,2021,Master's+,16.2764146219329
Kansas,2022,<HS,4.918032786885246
Kansas,2022,HS/GED,16.757741347905284
Kansas,2022,Some college,24.983696507679507
Kansas,2022,Bachelor's,32.66545233758348
