iso3,country_oecd,year,pti_index,rhp_index,country,cantril_ladder_score,anglophone
CAN,Canada,2020,120.45112619594575,129.6774981884775,Canada,7.1033,True
CAN,Canada,2021,134.44628420957025,144.5151850323265,Canada,7.0251,True
CAN,Canada,2022,144.91286876501226,152.10862317974824,Canada,6.9607,True
CAN,Canada,2023,138.6812383549075,143.877652432244,Canada,6.8996,True
CHE,Switzerland,2011,88.84872898505027,85.16007102074343,Switzerland,7.498953,False
CHE,Switzerland,2014,96.52665302319433,96.0041707647983,Switzerland,7.587,False
CHE,Switzerland,2015,100.00000000000006,99.99999999999987,Switzerland,7.509,False
CHE,Switzerland,2016,101.35130018452526,101.82849810514075,Switzerland,7.494,False
CHE,Switzerland,2017,103.91229711786825,103.04769450761275,Switzerland,7.4873,False
CHE,Switzerland,2018,105.905384608311,104.96569747035176,Switzerland,7.4802,False
CHE,Switzerland,2019,108.529001133672,109.19229897790875,Switzerland,7.5599,False
CHE,Switzerland,2020,110.6286719232895,114.37177820030351,Switzerland,7.5715,False
CHE,Switzerland,2021,119.03307174688575,121.8721409628355,Switzerland,7.5116,False
CHE,Switzerland,2022,123.33082082862775,128.049278978872,Switzerland,7.2401,False
CHE,Switzerland,2023,123.97693137427599,128.288557450162,Switzerland,7.0602,False
DEU,Germany,2011,93.80842289442259,90.98156470081355,Germany,6.572111,False
DEU,Germany,2014,97.69314412456382,95.99715858983525,Germany,6.75,False
DEU,Germany,2015,100.00000000000006,100.00000000000006,Germany,6.994,False
DEU,Germany,2016,105.06573528552124,106.749866486754,Germany,6.951,False
DEU,Germany,2017,107.94159386648074,111.41235090081375,Germany,6.9647,False
DEU,Germany,2018,110.81572093355724,116.84085095582725,Germany,6.985,False
DEU,Germany,2019,114.4741066391735,121.841553057203,Germany,7.0758,False
DEU,Germany,2020,123.09552666183251,130.5613277553025,Germany,7.1545,False
DEU,Germany,2021,133.12182402525926,141.06655511125976,Germany,7.0341,False
DEU,Germany,2022,130.59857390423375,140.2900137638285,Germany,6.8918,False
DEU,Germany,2023,113.5893527529485,120.3897214695115,Germany,6.7185,False
DNK,Denmark,2011,94.99715556750785,92.56329097292767,Denmark,7.85574,False
DNK,Denmark,2014,97.6262237447518,93.6164657238499,Denmark,7.527,False
DNK,Denmark,2015,100.00000000000013,100.00000000000007,Denmark,7.526,False
DNK,Denmark,2016,100.04707459330615,104.47124190538925,Denmark,7.522,False
DNK,Denmark,2017,102.191724080771,108.60294174335975,Denmark,7.5553,False
DNK,Denmark,2018,103.19778899013775,112.83524221174825,Denmark,7.6001,False
DNK,Denmark,2019,103.108701414599,114.42242345611375,Denmark,7.6456,False
DNK,Denmark,2020,107.44408327929575,119.1481906200885,Denmark,7.6195,False
DNK,Denmark,2021,116.97583378069525,130.4473098368585,Denmark,7.6362,False
DNK,Denmark,2022,111.7950603667155,126.790300638357,Denmark,7.5864,False
DNK,Denmark,2023,102.383939572957,118.348079554977,Denmark,7.5827,False
ESP,Spain,2011,123.830920402077,128.08275720606375,Spain,6.761248,False
ESP,Spain,2014,100.64413090361037,96.4673296008698,Spain,6.329,False
ESP,Spain,2015,100.0,99.99999999999986,Spain,6.361,False
ESP,Spain,2016,102.07206125202,104.419645094927,Spain,6.403,False
ESP,Spain,2017,105.32991442420325,109.2339391831395,Spain,6.3099,False
ESP,Spain,2018,109.71417064825249,114.96625511199375,Spain,6.3541,False
ESP,Spain,2019,110.7677861931865,119.64324624728874,Spain,6.4009,False
ESP,Spain,2020,116.65256173454901,122.256529929885,Spain,6.4907,False
ESP,Spain,2021,115.26727591205825,124.012180583304,Spain,6.4763,False
ESP,Spain,2022,119.0549273790925,124.92908277113975,Spain,6.4362,False
ESP,Spain,2023,113.6138014998585,123.5979525996285,Spain,6.4209,False
FIN,Finland,2011,102.237629275981,103.7961037547555,Finland,7.579009,False
FIN,Finland,2014,101.296282648735,100.46225317769375,Finland,7.406,False
FIN,Finland,2015,100.0000000000001,100.00000000000013,Finland,7.413,False
FIN,Finland,2016,100.1967111746,101.13067754882451,Finland,7.469,False
FIN,Finland,2017,99.40474129817818,101.189647795442,Finland,7.6321,False
FIN,Finland,2018,97.49556185779475,100.8236033597625,Finland,7.7689,False
FIN,Finland,2019,94.99286059643663,100.26360993708735,Finland,7.8087,False
FIN,Finland,2020,96.21354559355255,101.64134830783975,Finland,7.8421,False
FIN,Finland,2021,97.83949354735739,104.01914079348074,Finland,7.821,False
FIN,Finland,2022,95.31357532515236,98.69833325623053,Finland,7.8042,False
FIN,Finland,2023,85.52232564999696,88.67481928210893,Finland,7.7407,False
FRA,France,2011,108.144449620429,109.077608416764,France,6.746459,False
FRA,France,2014,102.70381970537424,102.1811223939355,France,6.575,False
FRA,France,2015,99.99999999999993,100.00000000000007,France,6.478,False
FRA,France,2016,99.60397970623424,100.70633733226775,France,6.442,False
FRA,France,2017,100.554329128523,102.95477491091975,France,6.4893,False
FRA,France,2018,101.33856912390775,104.0854754248025,France,6.5921,False
FRA,France,2019,101.7979224103905,106.64653106976374,France,6.6638,False
FRA,France,2020,106.96355234179126,111.5736060446915,France,6.6899,False
FRA,France,2021,109.44827014074775,117.4257097911315,France,6.6867,False
FRA,France,2022,111.074069733972,119.0765808093925,France,6.6613,False
FRA,France,2023,102.14708337621423,110.6687203007155,France,6.609,False
GBR,United Kingdom,2011,97.82868781821497,88.88681699423068,United Kingdom,6.936396,True
GBR,United Kingdom,2014,99.1042954220585,94.02730147045968,United Kingdom,6.867,True
GBR,United Kingdom,2015,99.99999999999986,99.99999999999997,United Kingdom,6.725,True
GBR,United Kingdom,2016,105.816745008373,105.66239996867725,United Kingdom,6.714,True
GBR,United Kingdom,2017,108.434702800384,108.5348129604415,United Kingdom,6.8143,True
GBR,United Kingdom,2018,108.194082658764,109.81754935917675,United Kingdom,7.0537,True
GBR,United Kingdom,2019,105.8487793066445,109.36916415346676,United Kingdom,7.1645,True
GBR,United Kingdom,2020,109.42693237736225,112.040776356038,United Kingdom,7.0636,True
GBR,United Kingdom,2021,113.6945445060425,118.00962650289026,United Kingdom,6.9425,True
GBR,United Kingdom,2022,118.48992218300324,118.83796538099651,United Kingdom,6.7956,True
GBR,United Kingdom,2023,111.5682364110115,111.43022550247625,United Kingdom,6.749,True
IRL,Ireland,2011,93.78410048422965,92.70823896491898,Ireland,7.284488,True
IRL,Ireland,2014,93.93321340972082,90.70060193401662,Ireland,6.94,True
IRL,Ireland,2015,99.99999999999993,99.99999999999987,Ireland,6.907,True
IRL,Ireland,2016,103.7081859375745,106.58571002668324,Ireland,6.977,True
IRL,Ireland,2017,109.2919534278825,116.8740129825985,Ireland,6.9771,True
IRL,Ireland,2018,117.39892838267801,126.91556911225925,Ireland,7.0211,True
IRL,Ireland,2019,113.888021789311,127.7018898508135,Ireland,7.0937,True
IRL,Ireland,2020,110.943018252402,127.99775272421624,Ireland,7.0853,True
IRL,Ireland,2021,115.415192563956,134.56612843567973,Ireland,7.0408,True
IRL,Ireland,2022,123.31948432339725,140.68431588141027,Ireland,6.9108,True
IRL,Ireland,2023,116.26092530315,133.46581523713326,Ireland,6.838,True
ITA,Italy,2011,118.11449204020076,124.80226975245276,Italy,6.578179,False
ITA,Italy,2014,105.47048693954875,104.1004866659095,Italy,5.948,False
ITA,Italy,2015,99.99999999999983,99.99999999999983,Italy,5.977,False
ITA,Italy,2016,98.73433136300885,99.7309441474993,Italy,5.964,False
ITA,Italy,2017,95.36780739547277,97.34977577046023,Italy,6.0004,False
ITA,Italy,2018,93.25783031005722,95.53829565550842,Italy,6.2234,False
ITA,Italy,2019,92.26235608790228,94.59297318061192,Italy,6.3874,False
ITA,Italy,2020,96.015634159848,96.1396879830688,Italy,6.4831,False
ITA,Italy,2021,93.32184185833314,97.17001050700385,Italy,6.4667,False
ITA,Italy,2022,90.87612384542892,94.51059553402297,Italy,6.4045,False
ITA,Italy,2023,86.92455869355292,91.09374942637253,Italy,6.3235,False
JPN,Japan,2011,97.7225855862969,97.17431630913943,Japan,6.059098,False
JPN,Japan,2014,99.09091035445633,98.19805514171382,Japan,5.987,False
JPN,Japan,2015,99.99999999999987,100.0000000000001,Japan,5.921,False
JPN,Japan,2016,101.02950059407422,102.5577602599585,Japan,5.92,False
JPN,Japan,2017,102.3935891037855,104.7592512608195,Japan,5.915,False
JPN,Japan,2018,103.0851063112725,106.052330262762,Japan,5.8861,False
JPN,Japan,2019,102.89234644304275,107.25545485551625,Japan,5.8708,False
JPN,Japan,2020,98.13415452378717,106.9945508359465,Japan,5.9405,False
JPN,Japan,2021,106.9311992018135,112.71915958913925,Japan,6.0389,False
JPN,Japan,2022,113.75133817875475,118.745338832546,Japan,6.129,False
JPN,Japan,2023,116.124423575074,118.74512211457275,Japan,6.0598,False
KOR,Korea,2011,114.854569526504,101.153878633846,South Korea,5.643442,False
KOR,Korea,2014,103.434575664677,98.20278911275477,South Korea,5.984,False
KOR,Korea,2015,99.99999999999997,100.00000000000006,South Korea,5.835,False
KOR,Korea,2016,99.2841294532171,100.29259784809035,South Korea,5.838,False
KOR,Korea,2017,97.96252490763908,99.54764321426914,South Korea,5.8749,False
KOR,Korea,2018,95.54712545257665,99.52094822762385,South Korea,5.8947,False
KOR,Korea,2019,91.48307757069608,98.53111365047228,South Korea,5.8724,False
KOR,Korea,2020,91.31744634317417,100.88241174159818,South Korea,5.8455,False
KOR,Korea,2021,95.99844669279591,107.03795689437726,South Korea,5.9351,False
KOR,Korea,2022,93.11076286980514,104.68713993421588,South Korea,5.9511,False
KOR,Korea,2023,82.02739260296822,93.97170335736102,South Korea,6.0579,False
MEX,Mexico,2011,,92.84902103355007,Mexico,6.740288,False
MEX,Mexico,2014,,93.240324033562,Mexico,7.187,False
MEX,Mexico,2015,,100.0000000000001,Mexico,6.778,False
MEX,Mexico,2016,,101.63817665540675,Mexico,6.578,False
MEX,Mexico,2017,,103.71519083826274,Mexico,6.4882,False
MEX,Mexico,2018,,108.127261264895,Mexico,6.5945,False
MEX,Mexico,2019,,114.453187750665,Mexico,6.465,False
MEX,Mexico,2020,,115.501292314792,Mexico,6.3168,False
MEX,Mexico,2021,,118.11669827077925,Mexico,6.1276,False
MEX,Mexico,2022,,118.01533645839825,Mexico,6.3295,False
MEX,Mexico,2023,,127.57344647751,Mexico,6.678,False
NOR,Norway,2011,99.59269177458228,89.11939340088102,Norway,7.524001,False
NOR,Norway,2014,100.5043479668095,96.44630469974773,Norway,7.522,False
NOR,Norway,2015,99.99999999999977,99.99999999999983,Norway,7.498,False
NOR,Norway,2016,106.411067658794,103.82657472761925,Norway,7.537,False
NOR,Norway,2017,108.26482322463275,106.8953835520315,Norway,7.5937,False
NOR,Norway,2018,107.026555320219,105.93719996663225,Norway,7.5539,False
NOR,Norway,2019,105.8259297715765,106.12379462929475,Norway,7.488,False
NOR,Norway,2020,108.04760373575375,108.9411663037485,Norway,7.3925,False
NOR,Norway,2021,112.0634776555095,117.0098895141535,Norway,7.3651,False
NOR,Norway,2022,116.5995583567365,116.42915104590175,Norway,7.3155,False
NOR,Norway,2023,112.51013043828274,108.27277409033275,Norway,7.3017,False
NZL,New Zealand,2011,79.29863654318598,75.7768821095186,New Zealand,7.372486,True
NZL,New Zealand,2014,92.65141074316497,89.65027480109174,New Zealand,7.286,True
NZL,New Zealand,2015,100.0,99.9999999999999,New Zealand,7.334,True
NZL,New Zealand,2016,108.9829929833125,113.438009842585,New Zealand,7.314,True
NZL,New Zealand,2017,111.69803567108801,118.9446139559835,New Zealand,7.3238,True
NZL,New Zealand,2018,110.49965961721576,121.63366617168674,New Zealand,7.3075,True
NZL,New Zealand,2019,108.57691276607325,123.522704862316,New Zealand,7.2996,True
NZL,New Zealand,2020,112.48263408453175,134.1595402182365,New Zealand,7.2766,True
NZL,New Zealand,2021,136.13235401887025,164.71168029422375,New Zealand,7.1998,True
NZL,New Zealand,2022,130.17177140169224,156.13163356328374,New Zealand,7.1229,True
NZL,New Zealand,2023,113.82996317006649,138.376601040398,New Zealand,7.0292,True
