year,MET2013,n_unweighted,n_movers_unweighted,mover_rate,mover_avg_bedrooms,mover_avg_rooms,mover_median_burden,nonmover_median_burden,mover_avg_trantime,CBSA_Name,zori_name
2024,42100,344,54,20.53193942655085,2.6893797578934233,4.017596405840509,46.2,30.4,27.58407922300514,"Santa Cruz-Watsonville, CA","Santa Cruz, CA"
2024,42140,203,46,26.606583072100314,2.7281716810435515,3.9543446244477174,44.33497536945813,30.518518518518515,33.48039215686274,"Santa Fe, NM","Santa Fe, NM"
2024,42200,652,113,18.081366892603416,3.0465097202854565,4.080715281765237,38.43648208469055,33.04761904761905,21.10549507516848,"Santa Maria-Santa Barbara, CA","Santa Maria, CA"
2024,42220,588,92,17.835022075405774,2.888958147818344,4.091006233303651,32.188235294117646,32.265420560747664,20.238740064763025,"Santa Rosa, CA","Santa Rosa, CA"
2024,42540,483,78,14.85616928061822,2.870468973991399,4.38511161171411,32.22857142857143,26.615384615384613,20.760132501948558,"Scranton--Wilkes-Barre--Hazleton, PA","Scranton, PA"
2024,42660,4843,1252,28.55532193225057,2.5997939535297223,3.539005015192005,30.74626865671642,29.30607028753994,26.340124112656103,"Seattle-Tacoma-Bellevue, WA","Seattle, WA"
2024,42680,122,20,15.535227090354677,2.8269628099173554,4.089359504132231,32.79272727272728,32.0,,"Sebastian-Vero Beach, FL","Sebastian, FL"
2024,43340,400,85,24.60984393757503,2.9853658536585366,4.307545731707317,43.3125,34.8433734939759,18.26766304347826,"Shreveport-Bossier City, LA","Shreveport, LA"
2024,43900,270,67,29.313733868900094,3.1020408163265305,4.267930029154519,29.459999999999997,29.064,23.788580885395117,"Spartanburg, SC","Spartanburg, SC"
2024,44060,767,180,26.020653218059557,3.0855099215505306,4.375311490539917,28.11638591117917,29.734513274336283,20.556527131782946,"Spokane-Spokane Valley, WA","Spokane, WA"
2024,44100,201,36,17.840745113472387,3.2340686274509802,4.7159313725490195,33.6,26.83804627249357,15.958631064309891,"Springfield, IL","Springfield, IL"
2024,44140,626,100,16.787335409085795,2.971247672253259,4.133631284916201,30.858995137763372,33.91304347826087,17.775290130430317,"Springfield, MA","Springfield, MA"
