MET2013,mover_rate_2022,mover_rate_2024,delta_mover_rate,mover_avg_bed_2022,mover_avg_bed_2024,delta_mover_avg_bed,mover_avg_rooms_2022,mover_avg_rooms_2024,delta_mover_avg_rooms,mover_burden_2022,mover_burden_2024,delta_mover_burden,nonmover_burden_2022,nonmover_burden_2024,delta_nonmover_burden,mover_trantime_2022,mover_trantime_2024,delta_mover_trantime,n_2022,n_2024,n_movers_2022,n_movers_2024,min_n,CBSA_Name,zori_name,RegionID,zori_pct_change_2022_2024,zori_2022,zori_2024
31080,14.585987920512489,15.286348798345866,0.7003608778333774,2.653669434595719,2.6243373682336286,-0.02933206636209018,3.572939713456085,3.5526790444784786,-0.02026066897760659,34.45594405594405,34.82233502538071,0.36639096943665805,33.473684210526315,33.0,-0.47368421052631504,28.651292654504957,29.70630010296389,1.0550074484589338,19815,19212,2824,2713,19212,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",753899,5.438300201269582,2658.2709089827104,2802.835661176208
33460,29.352549658215143,27.55232214169502,-1.800227516520124,2.5836740289167897,2.712070122462674,0.12839609354588433,3.7946472490343597,3.7647374601576917,-0.029909788876667953,35.333333333333336,29.589041095890412,-5.744292237442924,28.799999999999997,29.333333333333332,0.533333333333335,23.984004461513113,24.00303194916432,0.019027487651207764,1942,1958,514,488,1942,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis, MN",394865,5.4833521637321185,1504.5155256528917,1587.0134102824652
40140,14.219569411744706,17.956211102760932,3.736641691016226,2.9664818661366725,3.1159518285787566,0.1494699624420841,4.036252783215529,4.235517679564452,0.19926489634892253,35.774257425742576,36.32432432432432,0.550066898581747,33.381818181818176,34.54054054054054,1.1587223587223647,26.192123457372755,34.48642581922302,8.294302361850267,3842,3827,506,629,3827,"Riverside-San Bernardino-Ontario, CA","Riverside, CA",395025,5.510261028195215,2259.2523543352045,2383.74305634472
33100,19.367718354476988,21.51997314228423,2.152254787807241,2.7092405611259958,2.7608566455830537,0.0516160844570579,3.6306232523312,3.667513902449378,0.03689065011817805,39.0,40.91294117647059,1.9129411764705893,37.23009814612868,37.3125,0.0824018538713176,27.865475525777033,28.34202503729649,0.47654951151945824,6732,6500,1335,1392,6500,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami, FL",394856,5.787873060459406,2470.3956383151167,2613.3790019519215
32580,23.81084105568898,23.77625740978994,-0.03458364589903695,3.0781538786502614,3.0767169009810864,-0.0014369776691749436,4.000792100121456,4.008445433397391,0.0076533332759352035,29.57142857142857,30.0,0.4285714285714306,31.944,27.378947368421052,-4.565052631578947,17.913860788162463,16.40916689885762,-1.5046938893048427,610,635,114,145,610,"McAllen-Edinburg-Mission, TX","McAllen, TX",394843,5.89487203188532,1031.3267653037317,1092.122158348969
46060,29.338561823728664,29.092781066735306,-0.24578075699335855,2.896464016757269,2.7709230033476806,-0.12554101340958823,4.053239239938158,3.859014825442372,-0.19422441449578587,34.684739736681294,32.59701492537314,-2.0877248113081563,31.846153846153847,28.9749430523918,-2.871210793762046,21.108626680767486,22.972795003010233,1.8641683222427474,1164,1124,305,307,1124,"Tucson, AZ","Tucson, AZ",395167,6.045030466637883,1378.849333712648,1462.2011960246111
42200,21.785499629593392,18.081366892603416,-3.704132736989976,2.6828564095983576,3.0465097202854565,0.36365331068709894,3.8166303092518925,4.080715281765237,0.26408497251334406,44.22608695652174,38.43648208469055,-5.789604871831187,30.9375,33.04761904761905,2.110119047619051,21.883864004317324,21.10549507516848,-0.7783689291488436,648,652,122,113,648,"Santa Maria-Santa Barbara, CA","Santa Maria, CA",753917,6.277455297029759,3012.26068956239,3201.3540077796692
12580,21.5679011625533,23.773158927034387,2.205257764481086,2.8669082746216987,2.9499044385617115,0.08299616394001275,4.248387402128494,4.391172734719073,0.14278533259057902,34.53488372093023,31.309297912713475,-3.2255858082167563,30.0,30.469090909090905,0.46909090909090523,27.622240733027905,29.17135646471063,1.5491157316827255,2617,2534,571,587,2534,"Baltimore-Columbia-Towson, MD","Baltimore, MD",394358,6.613062578205504,1669.755321325518,1780.177285627691
32820,20.575383873490825,22.394426430067828,1.8190425565770028,3.3075713836567866,3.129493098697092,-0.1780782849596947,4.696144282161946,4.516135270371534,-0.1800090117904114,33.92842105263158,38.59731543624161,4.668894383610031,31.374999999999996,31.881818181818183,0.5068181818181863,21.933409558655384,19.733047556922312,-2.2003620017330725,1202,1206,239,243,1202,"Memphis, TN-MS-AR","Memphis, TN",394849,6.625547511966695,1296.9547242288513,1382.8850756913305
36420,30.374062221289545,31.28245223632245,0.9083900150329036,2.98984385795219,3.0188253012048194,0.02898144325262919,4.164000967251623,4.272606382978723,0.1086054157270997,32.53179190751445,32.09361702127659,-0.43817488623786005,29.18181818181818,27.92341678939617,-1.2584013924220088,24.679149823303586,20.327365169614303,-4.351784653689283,991,988,264,285,988,"Oklahoma City, OK","Oklahoma City, OK",394935,6.853628365280354,1209.2975029953172,1292.1782596812313
